ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
020101,020101,Áncash,Huaraz,Huaraz,Huaraz
020102,020105,Áncash,Huaraz,Independencia,Independencia
020103,020102,Áncash,Huaraz,Cochabamba,Cochabamba
020104,020103,Áncash,Huaraz,Colcabamba,Colcabamba
020105,020104,Áncash,Huaraz,Huanchay,Huanchay
020106,020106,Áncash,Huaraz,Jangas,Jangas
020107,020107,Áncash,Huaraz,La Libertad,La Libertad
020108,020108,Áncash,Huaraz,Olleros,Olleros
020109,020109,Áncash,Huaraz,Pampas Grande,Pampas Grande
020110,020110,Áncash,Huaraz,Pariacoto,Pariacoto
020111,020111,Áncash,Huaraz,Pira,Pira
020112,020112,Áncash,Huaraz,Tarica,Tarica
020201,020201,Áncash,Aija,Aija,Aija
020203,020202,Áncash,Aija,Coris,Coris
020205,020203,Áncash,Aija,Huacllan,Huacllan
020206,020204,Áncash,Aija,La Merced,La Merced
020208,020205,Áncash,Aija,Succha,Succha
020301,020501,Áncash,Bolognesi,Chiquian,Chiquian
020302,020502,Áncash,Bolognesi,Abelardo Pardo Lezameta,Abelardo Pardo Lezameta
020304,020504,Áncash,Bolognesi,Aquia,Aquia
020305,020505,Áncash,Bolognesi,Cajacay,Cajacay
020310,020510,Áncash,Bolognesi,Huayllacayan,Huayllacayan
020311,020509,Áncash,Bolognesi,Huasta,Huasta
020313,020512,Áncash,Bolognesi,Mangas,Mangas
020315,020513,Áncash,Bolognesi,Pacllon,Pacllon
020317,020514,Áncash,Bolognesi,San Miguel de Corpanqui,San Miguel de Corpanqui
020320,020515,Áncash,Bolognesi,Ticllos,Ticllos
020321,020503,Áncash,Bolognesi,Antonio Raymondi,Antonio Raymondi
020322,020506,Áncash,Bolognesi,Canis,Canis
020323,020507,Áncash,Bolognesi,Colquioc,Colquioc
020324,020511,Áncash,Bolognesi,La Primavera,La Primavera
020325,020508,Áncash,Bolognesi,Huallanca,Huallanca
020401,020601,Áncash,Carhuaz,Carhuaz,Carhuaz
020402,020602,Áncash,Carhuaz,Acopampa,Acopampa
020403,020603,Áncash,Carhuaz,Amashca,Amashca
020404,020604,Áncash,Carhuaz,Anta,Anta
020405,020605,Áncash,Carhuaz,Ataquero,Ataquero
020406,020606,Áncash,Carhuaz,Marcara,Marcara
020407,020607,Áncash,Carhuaz,Pariahuanca,Pariahuanca
020408,020608,Áncash,Carhuaz,San Miguel de Aco,San Miguel de Aco
020409,020609,Áncash,Carhuaz,Shilla,Shilla
020410,020610,Áncash,Carhuaz,Tinco,Tinco
020411,020611,Áncash,Carhuaz,Yungar,Yungar
020501,020801,Áncash,Casma,Casma,Casma
020502,020802,Áncash,Casma,Buena Vista Alta,Buena Vista Alta
020503,020803,Áncash,Casma,Comandante Noel,Comandante Noel
020505,020804,Áncash,Casma,Yautan,Yautan
020601,020901,Áncash,Corongo,Corongo,Corongo
020602,020902,Áncash,Corongo,Aco,Aco
020603,020903,Áncash,Corongo,Bambas,Bambas
020604,020904,Áncash,Corongo,Cusca,Cusca
020605,020905,Áncash,Corongo,La Pampa,La Pampa
020606,020906,Áncash,Corongo,Yanac,Yanac
020607,020907,Áncash,Corongo,Yupan,Yupan
020701,021201,Áncash,Huaylas,Caraz,Caraz
020702,021202,Áncash,Huaylas,Huallanca,Huallanca
020703,021203,Áncash,Huaylas,Huata,Huata
020704,021204,Áncash,Huaylas,Huaylas,Huaylas
020705,021205,Áncash,Huaylas,Mato,Mato
020706,021206,Áncash,Huaylas,Pamparomas,Pamparomas
020707,021207,Áncash,Huaylas,Pueblo Libre,Pueblo Libre
020708,021208,Áncash,Huaylas,Santa Cruz,Santa Cruz
020709,021210,Áncash,Huaylas,Yuracmarca,Yuracmarca
020710,021209,Áncash,Huaylas,Santo Toribio,Santo Toribio
020801,021001,Áncash,Huari,Huari,Huari
020802,021003,Áncash,Huari,Cajay,Cajay
020803,021004,Áncash,Huari,Chavín de Huántar,Chavin de Huantar
020804,021005,Áncash,Huari,Huacachi,Huacachi
020805,021007,Áncash,Huari,Huachis,Huachis
020806,021006,Áncash,Huari,Huacchis,Huacchis
020807,021008,Áncash,Huari,Huántar,Huantar
020808,021009,Áncash,Huari,Masin,Masin
020809,021010,Áncash,Huari,Paucas,Paucas
020810,021011,Áncash,Huari,Ponto,Ponto
020811,021012,Áncash,Huari,Rahuapampa,Rahuapampa
020812,021013,Áncash,Huari,Rapayan,Rapayan
020813,021014,Áncash,Huari,San Marcos,San Marcos
020814,021015,Áncash,Huari,San Pedro de Chana,San Pedro de Chana
020815,021016,Áncash,Huari,Uco,Uco
020816,021002,Áncash,Huari,Anra,Anra
020901,021301,Áncash,Mariscal Luzuriaga,Piscobamba,Piscobamba
020902,021302,Áncash,Mariscal Luzuriaga,Casca,Casca
020903,021307,Áncash,Mariscal Luzuriaga,Lucma,Lucma
020904,021304,Áncash,Mariscal Luzuriaga,Fidel Olivas Escudero,Fidel Olivas Escudero
020905,021305,Áncash,Mariscal Luzuriaga,Llama,Llama
020906,021306,Áncash,Mariscal Luzuriaga,Llumpa,Llumpa
020907,021308,Áncash,Mariscal Luzuriaga,Musga,Musga
020908,021303,Áncash,Mariscal Luzuriaga,Eleazar Guzmán Barron,Eleazar Guzmán Barron
021001,021501,Áncash,Pallasca,Cabana,Cabana
021002,021502,Áncash,Pallasca,Bolognesi,Bolognesi
021003,021503,Áncash,Pallasca,Conchucos,Conchucos
021004,021504,Áncash,Pallasca,Huacaschuque,Huacaschuque
021005,021505,Áncash,Pallasca,Huandoval,Huandoval
021006,021506,Áncash,Pallasca,Lacabamba,Lacabamba
021007,021507,Áncash,Pallasca,Llapo,Llapo
021008,021508,Áncash,Pallasca,Pallasca,Pallasca
021009,021509,Áncash,Pallasca,Pampas,Pampas
021010,021510,Áncash,Pallasca,Santa Rosa,Santa Rosa
021011,021511,Áncash,Pallasca,Tauca,Tauca
021101,021601,Áncash,Pomabamba,Pomabamba,Pomabamba
021102,021602,Áncash,Pomabamba,Huayllan,Huayllan
021103,021603,Áncash,Pomabamba,Parobamba,Parobamba
021104,021604,Áncash,Pomabamba,Quinuabamba,Quinuabamba
021201,021701,Áncash,Recuay,Recuay,Recuay
021202,021703,Áncash,Recuay,Cotaparaco,Cotaparaco
021203,021704,Áncash,Recuay,Huayllapampa,Huayllapampa
021204,021706,Áncash,Recuay,Marca,Marca
021205,021707,Áncash,Recuay,Pampas Chico,Pampas Chico
021206,021708,Áncash,Recuay,Pararin,Pararin
021207,021709,Áncash,Recuay,Tapacocha,Tapacocha
021208,021710,Áncash,Recuay,Ticapampa,Ticapampa
021209,021705,Áncash,Recuay,Llacllin,Llacllin
021210,021702,Áncash,Recuay,Catac,Catac
021301,021801,Áncash,Santa,Chimbote,Chimbote
021302,021802,Áncash,Santa,Cáceres del Perú,Cáceres del Perú
021303,021804,Áncash,Santa,Macate,Macate
021304,021805,Áncash,Santa,Moro,Moro
021305,021806,Áncash,Santa,Nepeña,Nepeña
021306,021807,Áncash,Santa,Samanco,Samanco
021307,021808,Áncash,Santa,Santa,Santa
021308,021803,Áncash,Santa,Coishco,Coishco
021309,021809,Áncash,Santa,Nuevo Chimbote,Nuevo Chimbote
021401,021901,Áncash,Sihuas,Sihuas,Sihuas
021402,021903,Áncash,Sihuas,Alfonso Ugarte,Alfonso Ugarte
021403,021905,Áncash,Sihuas,Chingalpo,Chingalpo
021404,021906,Áncash,Sihuas,Huayllabamba,Huayllabamba
021405,021907,Áncash,Sihuas,Quiches,Quiches
021406,021910,Áncash,Sihuas,Sicsibamba,Sicsibamba
021407,021902,Áncash,Sihuas,Acobamba,Acobamba
021408,021904,Áncash,Sihuas,Cashapampa,Cashapampa
021409,021908,Áncash,Sihuas,Ragash,Ragash
021410,021909,Áncash,Sihuas,San Juan,San Juan
021501,022001,Áncash,Yungay,Yungay,Yungay
021502,022002,Áncash,Yungay,Cascapara,Cascapara
021503,022003,Áncash,Yungay,Mancos,Mancos
021504,022004,Áncash,Yungay,Matacoto,Matacoto
021505,022005,Áncash,Yungay,Quillo,Quillo
