ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
050101,050101,Ayacucho,Huamanga,Ayacucho,Ayacucho
050102,050103,Ayacucho,Huamanga,Acos Vinchos,Acos Vinchos
050103,050104,Ayacucho,Huamanga,Carmen Alto,Carmen Alto
050104,050105,Ayacucho,Huamanga,Chiara,Chiara
050105,050108,Ayacucho,Huamanga,Quinua,Quinua
050106,050109,Ayacucho,Huamanga,San José de Ticllas,San José de Ticllas
050107,050110,Ayacucho,Huamanga,San Juan Bautista,San Juan Bautista
050108,050111,Ayacucho,Huamanga,Santiago de Pischa,Santiago de Pischa
050109,050114,Ayacucho,Huamanga,Vinchos,Vinchos
050110,050113,Ayacucho,Huamanga,Tambillo,Tambillo
050111,050102,Ayacucho,Huamanga,Acocro,Acocro
050112,050112,Ayacucho,Huamanga,Socos,Socos
050113,050106,Ayacucho,Huamanga,Ocros,Ocros
050114,050107,Ayacucho,Huamanga,Pacaycasa,Pacaycasa
050115,050115,Ayacucho,Huamanga,Jesús Nazareno,Jesús Nazareno
050116,050116,Ayacucho,Huamanga,Andrés Avelino Cáceres Dorregaray,Andrés Avelino Cáceres Dorregaray
050201,050201,Ayacucho,Cangallo,Cangallo,Cangallo
050204,050202,Ayacucho,Cangallo,Chuschi,Chuschi
050206,050203,Ayacucho,Cangallo,Los Morochucos,Los Morochucos
050207,050205,Ayacucho,Cangallo,Paras,Paras
050208,050206,Ayacucho,Cangallo,Totos,Totos
050211,050204,Ayacucho,Cangallo,María Parado de Bellido,María Parado de Bellido
050301,050401,Ayacucho,Huanta,Huanta,Huanta
050302,050402,Ayacucho,Huanta,Ayahuanco,Ayahuanco
050303,050403,Ayacucho,Huanta,Huamanguilla,Huamanguilla
050304,050404,Ayacucho,Huanta,Iguain,Iguain
050305,050405,Ayacucho,Huanta,Luricocha,Luricocha
050307,050406,Ayacucho,Huanta,Santillana,Santillana
050308,050407,Ayacucho,Huanta,Sivia,Sivia
050309,050408,Ayacucho,Huanta,Llochegua,Llochegua
050310,050409,Ayacucho,Huanta,Canayre,Canayre
