ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
060101,060101,Cajamarca,Cajamarca,Cajamarca,Cajamarca
060102,060102,Cajamarca,Cajamarca,Asunción,Asunción
060103,060104,Cajamarca,Cajamarca,Cospan,Cospan
060104,060103,Cajamarca,Cajamarca,Chetilla,Chetilla
060105,060105,Cajamarca,Cajamarca,Encañada,Encañada
060106,060106,Cajamarca,Cajamarca,Jesús,Jesús
060107,060108,Cajamarca,Cajamarca,Los Baños del Inca,Los Baños del Inca
060108,060107,Cajamarca,Cajamarca,Llacanora,Llacanora
060109,060109,Cajamarca,Cajamarca,Magdalena,Magdalena
060110,060110,Cajamarca,Cajamarca,Matara,Matara
060111,060111,Cajamarca,Cajamarca,Namora,Namora
060112,060112,Cajamarca,Cajamarca,San Juan,San Juan
060201,060201,Cajamarca,Cajabamba,Cajabamba,Cajabamba
060202,060202,Cajamarca,Cajabamba,Cachachi,Cachachi
060203,060203,Cajamarca,Cajabamba,Condebamba,Condebamba
060205,060204,Cajamarca,Cajabamba,Sitacocha,Sitacocha
060301,060301,Cajamarca,Celendín,Celendín,Celendín
060302,060303,Cajamarca,Celendín,Cortegana,Cortegana
060303,060302,Cajamarca,Celendín,Chumuch,Chumuch
060304,060304,Cajamarca,Celendín,Huasmin,Huasmin
060305,060305,Cajamarca,Celendín,Jorge Chávez,Jorge Chávez
060306,060306,Cajamarca,Celendín,José Gálvez,José Gálvez
060307,060307,Cajamarca,Celendín,Miguel Iglesias,Miguel Iglesias
060308,060308,Cajamarca,Celendín,Oxamarca,Oxamarca
060309,060309,Cajamarca,Celendín,Sorochuco,Sorochuco
060310,060310,Cajamarca,Celendín,Sucre,Sucre
060311,060311,Cajamarca,Celendín,Utco,Utco
060312,060312,Cajamarca,Celendín,La Libertad de Pallán,La Libertad de Pallan
060401,060501,Cajamarca,Contumazá,Contumazá,Contumaza
060403,060502,Cajamarca,Contumazá,Chilete,Chilete
060404,060504,Cajamarca,Contumazá,Guzmango,Guzmango
060405,060505,Cajamarca,Contumazá,San Benito,San Benito
060406,060503,Cajamarca,Contumazá,Cupisnique,Cupisnique
060407,060507,Cajamarca,Contumazá,Tantarica,Tantarica
060408,060508,Cajamarca,Contumazá,Yonan,Yonan
060409,060506,Cajamarca,Contumazá,Santa Cruz de Toledo,Santa Cruz de Toledo
060501,060601,Cajamarca,Cutervo,Cutervo,Cutervo
060502,060602,Cajamarca,Cutervo,Callayuc,Callayuc
060503,060604,Cajamarca,Cutervo,Cujillo,Cujillo
060504,060603,Cajamarca,Cutervo,Choros,Choros
060505,060605,Cajamarca,Cutervo,La Ramada,La Ramada
060506,060606,Cajamarca,Cutervo,Pimpingos,Pimpingos
060507,060607,Cajamarca,Cutervo,Querocotillo,Querocotillo
060508,060608,Cajamarca,Cutervo,San Andrés de Cutervo,San Andrés de Cutervo
060509,060609,Cajamarca,Cutervo,San Juan de Cutervo,San Juan de Cutervo
060510,060610,Cajamarca,Cutervo,San Luis de Lucma,San Luis de Lucma
060511,060611,Cajamarca,Cutervo,Santa Cruz,Santa Cruz
060512,060612,Cajamarca,Cutervo,Santo Domingo de la Capilla,Santo Domingo de la Capilla
060513,060613,Cajamarca,Cutervo,Santo Tomás,Santo Tomas
060514,060614,Cajamarca,Cutervo,Socota,Socota
060515,060615,Cajamarca,Cutervo,Toribio Casanova,Toribio Casanova
060601,060401,Cajamarca,Chota,Chota,Chota
060602,060402,Cajamarca,Chota,Anguia,Anguia
060603,060407,Cajamarca,Chota,Cochabamba,Cochabamba
060604,060408,Cajamarca,Chota,Conchán,Conchan
060605,060403,Cajamarca,Chota,Chadin,Chadin
060606,060404,Cajamarca,Chota,Chiguirip,Chiguirip
060607,060405,Cajamarca,Chota,Chimban,Chimban
060608,060409,Cajamarca,Chota,Huambos,Huambos
060609,060410,Cajamarca,Chota,Lajas,Lajas
060610,060411,Cajamarca,Chota,Llama,Llama
060611,060412,Cajamarca,Chota,Miracosta,Miracosta
060612,060413,Cajamarca,Chota,Paccha,Paccha
060613,060414,Cajamarca,Chota,Pion,Pion
060614,060415,Cajamarca,Chota,Querocoto,Querocoto
060615,060417,Cajamarca,Chota,Tacabamba,Tacabamba
060616,060418,Cajamarca,Chota,Tocmoche,Tocmoche
060617,060416,Cajamarca,Chota,San Juan de Licupis,San Juan de Licupis
060618,060406,Cajamarca,Chota,Choropampa,Choropampa
060619,060419,Cajamarca,Chota,Chalamarca,Chalamarca
060701,060701,Cajamarca,Hualgayoc,Bambamarca,Bambamarca
060702,060702,Cajamarca,Hualgayoc,Chugur,Chugur
060703,060703,Cajamarca,Hualgayoc,Hualgayoc,Hualgayoc
060801,060801,Cajamarca,Jaén,Jaén,Jaén
060802,060802,Cajamarca,Jaén,Bellavista,Bellavista
060803,060804,Cajamarca,Jaén,Colasay,Colasay
060804,060803,Cajamarca,Jaén,Chontali,Chontali
060805,060807,Cajamarca,Jaén,Pomahuaca,Pomahuaca
060806,060808,Cajamarca,Jaén,Pucará,Pucara
060807,060809,Cajamarca,Jaén,Sallique,Sallique
060808,060810,Cajamarca,Jaén,San Felipe,San Felipe
060809,060811,Cajamarca,Jaén,San José del Alto,San José del Alto
