C_CODI_CANDIDATO,CANDIDATO,NUMLISTA,TOTAL_VOTOS,departamento,partido
00000129,EDILBERTO KUJANCHAM PETSA,1,415,AMAZONAS,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000130,MARIA LUCELINA MORETO COPIA,2,68,AMAZONAS,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000131,ERNESTOR VASQUEZ CABRERA,3,309,AMAZONAS,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000132,EULA ONIRIA DAVILA DAVILA,4,6,AMAZONAS,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000695,LUIS JOEL MORILLOS GARCIA,1,867,AMAZONAS,PARTIDO NACIONALISTA PERUANO
00000696,OLGA DEL ROCIO HERNANDEZ BELLODAS,2,216,AMAZONAS,PARTIDO NACIONALISTA PERUANO
00000697,HUGO SAMANIEGO GUTIERREZ,3,321,AMAZONAS,PARTIDO NACIONALISTA PERUANO
00000698,YLMER CANDELARIA ROJAS HUAMAN,4,16,AMAZONAS,PARTIDO NACIONALISTA PERUANO
00000703,NELSON ERNESTO LOPEZ PORTOCARRERO,1,564,AMAZONAS,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000704,EDI MARLIT GONGORA ROJAS,2,532,AMAZONAS,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000705,EVER SALVADOR BURGA SERRANO,3,183,AMAZONAS,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000706,AQUELINA MARIA KININ UMPUCHIG,4,10,AMAZONAS,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000675,SEGUNDO ROBERTO GUEVARA ARANDA,1,943,AMAZONAS,PARTIDO MORADO
00000676,ASUNTA VICTORIA HUAMAN ANGULO,2,340,AMAZONAS,PARTIDO MORADO
00000677,JUAN CARLOS LEON RAFAEL,3,59,AMAZONAS,PARTIDO MORADO
00000678,MARIA ESPERANZA CHIROQUE TUESTA,4,17,AMAZONAS,PARTIDO MORADO
,,1,0,AMAZONAS,PERU PATRIA SEGURA
,,2,0,AMAZONAS,PERU PATRIA SEGURA
,,3,0,AMAZONAS,PERU PATRIA SEGURA
,,4,0,AMAZONAS,PERU PATRIA SEGURA
00000719,ROBERTH WONG ZUMAETA,1,"2,630",AMAZONAS,VICTORIA NACIONAL
00000720,MARTHA SUSANA GARCIA AREVALO,2,712,AMAZONAS,VICTORIA NACIONAL
00000721,JOE ANTHONY GUERRERO PEÑA,3,45,AMAZONAS,VICTORIA NACIONAL
00000722,JOCELYN BENITES CANO,4,19,AMAZONAS,VICTORIA NACIONAL
00000691,MARIA KELLY AREVALO LOPEZ,1,"1,467",AMAZONAS,ACCION POPULAR
00000692,EDWIN FLORES JIMENEZ,2,"1,416",AMAZONAS,ACCION POPULAR
00000693,LIDIA MENDOZA CALDERON,3,266,AMAZONAS,ACCION POPULAR
00000694,VICTOR HUGO CHAVEZ MELENDEZ,4,878,AMAZONAS,ACCION POPULAR
,,1,0,AMAZONAS,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
,,2,0,AMAZONAS,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
,,3,0,AMAZONAS,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
,,4,0,AMAZONAS,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000723,JAIME REYNA CHUQUIPIONDO,1,687,AMAZONAS,PODEMOS PERU
00000724,CRIS EDITH PINEDO DAVILA,2,124,AMAZONAS,PODEMOS PERU
00000725,EDUARDO NAYAP KININ,3,"1,263",AMAZONAS,PODEMOS PERU
00000726,  ,4,7,AMAZONAS,PODEMOS PERU
00000687,LEYDA GUEILER RIMARACHIN CAYATOPA,1,"1,097",AMAZONAS,JUNTOS POR EL PERU
00000688,ELADIO SAUCEDO SANTILLAN,2,"1,339",AMAZONAS,JUNTOS POR EL PERU
00000689,JACOBITA CABAÑAS DE AGUILAR,3,758,AMAZONAS,JUNTOS POR EL PERU
00000690,CRISTIAN GABRIEL TAPULLIMA INSAPILLO,4,39,AMAZONAS,JUNTOS POR EL PERU
00000679,CARLOS RONALD VIRU BAZAN,1,48,AMAZONAS,PARTIDO POPULAR CRISTIANO - PPC
00000680,  ,2,13,AMAZONAS,PARTIDO POPULAR CRISTIANO - PPC
00000681,KEITH HANS TERRONES FLORES,3,41,AMAZONAS,PARTIDO POPULAR CRISTIANO - PPC
00000682,CYNTHIA GUISSELLA VERASTEGUI GUTIERREZ,4,1,AMAZONAS,PARTIDO POPULAR CRISTIANO - PPC
00000715,MERY ELIANA INFANTES CASTAÑEDA,1,"1,382",AMAZONAS,FUERZA POPULAR
00000716,JORGE CARRERO COPIA,2,"1,223",AMAZONAS,FUERZA POPULAR
00000717,MAGDA LILI MANCO PADILLA,3,95,AMAZONAS,FUERZA POPULAR
00000718,  ,4,48,AMAZONAS,FUERZA POPULAR
00000683,JACK GARY SALAZAR VELAZQUE,1,"2,040",AMAZONAS,UNION POR EL PERU
00000684,ERIKA MILAGROS DELGADO HOYOS,2,797,AMAZONAS,UNION POR EL PERU
00000685,HERNANDEZ CHIJIP KAPARIA,3,71,AMAZONAS,UNION POR EL PERU
00000686,SADITH OBLITAS YOPAN,4,552,AMAZONAS,UNION POR EL PERU
00000667,EDIL ESDAR GUERRERO NAVAL,1,828,AMAZONAS,RENOVACION POPULAR
00000668,LIDIA SALAZAR CARRANZA,2,276,AMAZONAS,RENOVACION POPULAR
00000669,  ,3,38,AMAZONAS,RENOVACION POPULAR
00000670,ERIKA JOANNA CHINCHAY AMAYA,4,22,AMAZONAS,RENOVACION POPULAR
00000663,MANUEL CRUZ CULLAMPE GRANDEZ,1,128,AMAZONAS,RENACIMIENTO UNIDO NACIONAL
00000664,NELSY IVONE CORONEL CORTEZ,2,22,AMAZONAS,RENACIMIENTO UNIDO NACIONAL
00000665,JULIO AURELIO CAMAVILCA DE LA CRUZ,3,9,AMAZONAS,RENACIMIENTO UNIDO NACIONAL
00000666,JHENY VEGA LA ROSA,4,2,AMAZONAS,RENACIMIENTO UNIDO NACIONAL
00000699,LESTER GEOFREY DIAZ VILLANUEVA,1,"2,290",AMAZONAS,PARTIDO DEMOCRATICO SOMOS PERU
00000700,MARIA GENOBEVA GOÑAS VARGAS,2,407,AMAZONAS,PARTIDO DEMOCRATICO SOMOS PERU
00000701,PORFILIO VALLE VALQUI,3,52,AMAZONAS,PARTIDO DEMOCRATICO SOMOS PERU
00000702,JUDITH RUBIO VALQUI,4,51,AMAZONAS,PARTIDO DEMOCRATICO SOMOS PERU
00000707,SEGUNDO TORIBIO MONTALVO CUBAS,1,"2,556",AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE
00000708,ROSA ADELAIDA PAUKAI SEBASTIAN,2,905,AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE
00000709,  ,3,161,AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE
00000710,RUTH MAGALY BENAVIDES ALVARADO,4,83,AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE
00000125,JORGE LUIS CARBONEL CHOTA,1,63,AMAZONAS,DEMOCRACIA DIRECTA
00000126,NELLY RODRIGUEZ AREVALO,2,16,AMAZONAS,DEMOCRACIA DIRECTA
00000127,FERNANDO UKUNCHAM TAKI,3,6,AMAZONAS,DEMOCRACIA DIRECTA
00000128,DILSA FLOR PASAPERA HUANCAS,4,2,AMAZONAS,DEMOCRACIA DIRECTA
