ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
070101,080101,Cusco,Cusco,Cusco,Cusco
070102,080102,Cusco,Cusco,Ccorca,Ccorca
070103,080103,Cusco,Cusco,Poroy,Poroy
070104,080104,Cusco,Cusco,San Jerónimo,San Jerónimo
070105,080105,Cusco,Cusco,San Sebastián,San Sebastian
070106,080106,Cusco,Cusco,Santiago,Santiago
070107,080107,Cusco,Cusco,Saylla,Saylla
070108,080108,Cusco,Cusco,Wanchaq,Wanchaq
070201,080201,Cusco,Acomayo,Acomayo,Acomayo
070202,080202,Cusco,Acomayo,Acopia,Acopia
070203,080203,Cusco,Acomayo,Acos,Acos
070204,080205,Cusco,Acomayo,Pomacanchi,Pomacanchi
070205,080206,Cusco,Acomayo,Rondocan,Rondocan
070206,080207,Cusco,Acomayo,Sangarara,Sangarara
070207,080204,Cusco,Acomayo,Mosoc Llacta,Mosoc Llacta
070301,080301,Cusco,Anta,Anta,Anta
070302,080304,Cusco,Anta,Chinchaypujio,Chinchaypujio
070303,080305,Cusco,Anta,Huarocondo,Huarocondo
070304,080306,Cusco,Anta,Limatambo,Limatambo
070305,080307,Cusco,Anta,Mollepata,Mollepata
070306,080308,Cusco,Anta,Pucyura,Pucyura
070307,080309,Cusco,Anta,Zurite,Zurite
070308,080303,Cusco,Anta,Cachimayo,Cachimayo
070309,080302,Cusco,Anta,Ancahuasi,Ancahuasi
070401,080401,Cusco,Calca,Calca,Calca
070402,080402,Cusco,Calca,Coya,Coya
070403,080403,Cusco,Calca,Lamay,Lamay
070404,080404,Cusco,Calca,Lares,Lares
070405,080405,Cusco,Calca,Písac,Pisac
070406,080406,Cusco,Calca,San Salvador,San Salvador
070407,080407,Cusco,Calca,Taray,Taray
070408,080408,Cusco,Calca,Yanatile,Yanatile
070501,080501,Cusco,Canas,Yanaoca,Yanaoca
070502,080502,Cusco,Canas,Checca,Checca
070503,080503,Cusco,Canas,Kunturkanki,Kunturkanki
070504,080504,Cusco,Canas,Langui,Langui
070505,080505,Cusco,Canas,Layo,Layo
070506,080506,Cusco,Canas,Pampamarca,Pampamarca
070507,080507,Cusco,Canas,Quehue,Quehue
070508,080508,Cusco,Canas,Túpac Amaru,Tupac Amaru
070601,080601,Cusco,Canchis,Sicuani,Sicuani
070602,080603,Cusco,Canchis,Combapata,Combapata
070603,080602,Cusco,Canchis,Checacupe,Checacupe
070604,080604,Cusco,Canchis,Marangani,Marangani
070605,080605,Cusco,Canchis,Pitumarca,Pitumarca
070606,080606,Cusco,Canchis,San Pablo,San Pablo
070607,080607,Cusco,Canchis,San Pedro,San Pedro
070608,080608,Cusco,Canchis,Tinta,Tinta
070701,080701,Cusco,Chumbivilcas,Santo Tomás,Santo Tomas
070702,080702,Cusco,Chumbivilcas,Capacmarca,Capacmarca
070703,080704,Cusco,Chumbivilcas,Colquemarca,Colquemarca
070704,080703,Cusco,Chumbivilcas,Chamaca,Chamaca
070705,080705,Cusco,Chumbivilcas,Livitaca,Livitaca
070706,080706,Cusco,Chumbivilcas,Llusco,Llusco
070707,080707,Cusco,Chumbivilcas,Quiñota,Quiñota
070708,080708,Cusco,Chumbivilcas,Velille,Velille
070801,080801,Cusco,Espinar,Espinar,Espinar
070802,080802,Cusco,Espinar,Condoroma,Condoroma
070803,080803,Cusco,Espinar,Coporaque,Coporaque
070804,080804,Cusco,Espinar,Ocoruro,Ocoruro
070805,080805,Cusco,Espinar,Pallpata,Pallpata
070806,080806,Cusco,Espinar,Pichigua,Pichigua
070807,080807,Cusco,Espinar,Suyckutambo,Suyckutambo
070808,080808,Cusco,Espinar,Alto Pichigua,Alto Pichigua
070901,080901,Cusco,La Convención,Santa Ana,Santa Ana
070902,080902,Cusco,La Convención,Echarate,Echarate
070903,080903,Cusco,La Convención,Huayopata,Huayopata
070904,080904,Cusco,La Convención,Maranura,Maranura
070905,080905,Cusco,La Convención,Ocobamba,Ocobamba
070906,080908,Cusco,La Convención,Santa Teresa,Santa Teresa
070907,080909,Cusco,La Convención,Vilcabamba,Vilcabamba
070908,080906,Cusco,La Convención,Quellouno,Quellouno
070909,080907,Cusco,La Convención,Kimbiri,Kimbiri
070910,080910,Cusco,La Convención,Pichari,Pichari
070911,080911,Cusco,La Convención,Inkawasi,Inkawasi
070912,080912,Cusco,La Convención,Villa Virgen,Villa Virgen
070913,080913,Cusco,La Convención,Villa Kintiarina,Villa Kintiarina
070915,080914,Cusco,La Convención,Megantoni,Megantoni
071001,081001,Cusco,Paruro,Paruro,Paruro
071002,081002,Cusco,Paruro,Accha,Accha
071003,081003,Cusco,Paruro,Ccapi,Ccapi
071004,081004,Cusco,Paruro,Colcha,Colcha
071005,081005,Cusco,Paruro,Huanoquite,Huanoquite
071006,081006,Cusco,Paruro,Omacha,Omacha
071007,081009,Cusco,Paruro,Yaurisque,Yaurisque
071008,081007,Cusco,Paruro,Paccaritambo,Paccaritambo
071009,081008,Cusco,Paruro,Pillpinto,Pillpinto
071101,081101,Cusco,Paucartambo,Paucartambo,Paucartambo
071102,081102,Cusco,Paucartambo,Caicay,Caicay
071103,081104,Cusco,Paucartambo,Colquepata,Colquepata
071104,081103,Cusco,Paucartambo,Challabamba,Challabamba
071105,081106,Cusco,Paucartambo,Kosñipata,Kosñipata
071106,081105,Cusco,Paucartambo,Huancarani,Huancarani
071201,081201,Cusco,Quispicanchi,Urcos,Urcos
071202,081202,Cusco,Quispicanchi,Andahuaylillas,Andahuaylillas
071203,081203,Cusco,Quispicanchi,Camanti,Camanti
071204,081204,Cusco,Quispicanchi,Ccarhuayo,Ccarhuayo
071205,081205,Cusco,Quispicanchi,Ccatca,Ccatca
071206,081206,Cusco,Quispicanchi,Cusipata,Cusipata
071207,081207,Cusco,Quispicanchi,Huaro,Huaro
071208,081208,Cusco,Quispicanchi,Lucre,Lucre
071209,081209,Cusco,Quispicanchi,Marcapata,Marcapata
071210,081210,Cusco,Quispicanchi,Ocongate,Ocongate
071211,081211,Cusco,Quispicanchi,Oropesa,Oropesa
071212,081212,Cusco,Quispicanchi,Quiquijana,Quiquijana
071301,081301,Cusco,Urubamba,Urubamba,Urubamba
071302,081302,Cusco,Urubamba,Chinchero,Chinchero
071303,081303,Cusco,Urubamba,Huayllabamba,Huayllabamba
071304,081304,Cusco,Urubamba,Machupicchu,Machupicchu
071305,081305,Cusco,Urubamba,Maras,Maras
071306,081306,Cusco,Urubamba,Ollantaytambo,Ollantaytambo
071307,081307,Cusco,Urubamba,Yucay,Yucay
