cod_dep_reniec,desc_dep_reniec,cod_prov_reniec,desc_prov_reniec,cod_ubigeo_reniec,desc_ubigeo_reniec,poblacion,superficie,latitud,longitud,altitud,total_votos,validos,conteo,blancos_nulos
01,Amazonas,0101,Chachapoyas,010101,Chachapoyas,29171,153.78,-6.2294,-77.8714,2338,,,,
01,Amazonas,0101,Chachapoyas,010102,Asunción,288,25.71,-6.0317,-77.7122,2783,,,,
01,Amazonas,0101,Chachapoyas,010103,Balsas,1644,357.09,-6.8375,-78.0214,841,,,,
01,Amazonas,0101,Chachapoyas,010104,Cheto,591,56.97,-6.2558,-77.7003,2121,,,,
01,Amazonas,0101,Chachapoyas,010105,Chiliquin,687,143.43,-6.0778,-77.7392,2617,,,,
01,Amazonas,0101,Chachapoyas,010106,Chuquibamba,2064,278.63,-6.9333,-77.8575,2784,,,,
01,Amazonas,0101,Chachapoyas,010107,Granada,379,181.41,-6.0997,-77.6344,3020,,,,
01,Amazonas,0101,Chachapoyas,010108,Huancas,1329,48.79,-6.1747,-77.8686,2578,,,,
01,Amazonas,0101,Chachapoyas,010109,La Jalca,5513,380.39,-6.4825,-77.8192,2856,,,,
01,Amazonas,0101,Chachapoyas,010110,Leimebamba,4206,373.14,-6.6636,-77.8006,2207,,,,
01,Amazonas,0101,Chachapoyas,010111,Levanto,862,77.54,-6.3086,-77.8994,2663,,,,
01,Amazonas,0101,Chachapoyas,010112,Magdalena,782,135.47,-6.3736,-77.9017,1858,,,,
01,Amazonas,0101,Chachapoyas,010113,Mariscal Castilla,986,83.58,-6.5939,-77.8053,2198,,,,
01,Amazonas,0101,Chachapoyas,010114,Molinopampa,2750,333.86,-6.2056,-77.6683,2407,,,,
01,Amazonas,0101,Chachapoyas,010115,Montevideo,572,119.01,-6.6133,-77.8025,2408,,,,
01,Amazonas,0101,Chachapoyas,010116,Olleros,363,125.16,-6.0239,-77.6761,3143,,,,
01,Amazonas,0101,Chachapoyas,010117,Quinjalca,830,91.59,-6.085,-77.66,3184,,,,
01,Amazonas,0101,Chachapoyas,010118,San Francisco de Daguas,351,47.41,-6.2333,-77.7392,2006,,,,
01,Amazonas,0101,Chachapoyas,010119,San Isidro de Maino,703,101.67,-6.3533,-77.8439,2329,,,,
