ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
080101,090101,Huancavelica,Huancavelica,Huancavelica,Huancavelica
080102,090102,Huancavelica,Huancavelica,Acobambilla,Acobambilla
080103,090103,Huancavelica,Huancavelica,Acoria,Acoria
080104,090104,Huancavelica,Huancavelica,Conayca,Conayca
080105,090105,Huancavelica,Huancavelica,Cuenca,Cuenca
080106,090106,Huancavelica,Huancavelica,Huachocolpa,Huachocolpa
080108,090107,Huancavelica,Huancavelica,Huayllahuara,Huayllahuara
080109,090108,Huancavelica,Huancavelica,Izcuchaca,Izcuchaca
080110,090109,Huancavelica,Huancavelica,Laria,Laria
080111,090110,Huancavelica,Huancavelica,Manta,Manta
080112,090111,Huancavelica,Huancavelica,Mariscal Cáceres,Mariscal Cáceres
080113,090112,Huancavelica,Huancavelica,Moya,Moya
080114,090113,Huancavelica,Huancavelica,Nuevo Occoro,Nuevo Occoro
080115,090114,Huancavelica,Huancavelica,Palca,Palca
080116,090115,Huancavelica,Huancavelica,Pilchaca,Pilchaca
080117,090116,Huancavelica,Huancavelica,Vilca,Vilca
080118,090117,Huancavelica,Huancavelica,Yauli,Yauli
080119,090118,Huancavelica,Huancavelica,Ascensión,Ascensión
080120,090119,Huancavelica,Huancavelica,Huando,Huando
080201,090201,Huancavelica,Acobamba,Acobamba,Acobamba
080202,090203,Huancavelica,Acobamba,Anta,Anta
080203,090202,Huancavelica,Acobamba,Andabamba,Andabamba
080204,090204,Huancavelica,Acobamba,Caja,Caja
080205,090205,Huancavelica,Acobamba,Marcas,Marcas
080206,090206,Huancavelica,Acobamba,Paucara,Paucara
080207,090207,Huancavelica,Acobamba,Pomacocha,Pomacocha
080208,090208,Huancavelica,Acobamba,Rosario,Rosario
080301,090301,Huancavelica,Angaraes,Lircay,Lircay
080302,090302,Huancavelica,Angaraes,Anchonga,Anchonga
080303,090303,Huancavelica,Angaraes,Callanmarca,Callanmarca
080304,090306,Huancavelica,Angaraes,Congalla,Congalla
080305,090305,Huancavelica,Angaraes,Chincho,Chincho
080306,090308,Huancavelica,Angaraes,Huayllay Grande,Huayllay Grande
080307,090307,Huancavelica,Angaraes,Huanca-Huanca,Huanca-Huanca
080308,090309,Huancavelica,Angaraes,Julcamarca,Julcamarca
080309,090310,Huancavelica,Angaraes,San Antonio de Antaparco,San Antonio de Antaparco
080310,090311,Huancavelica,Angaraes,Santo Tomás de Pata,Santo Tomas de Pata
080311,090312,Huancavelica,Angaraes,Secclla,Secclla
080312,090304,Huancavelica,Angaraes,Ccochaccasa,Ccochaccasa
080401,090401,Huancavelica,Castrovirreyna,Castrovirreyna,Castrovirreyna
080402,090402,Huancavelica,Castrovirreyna,Arma,Arma
080403,090403,Huancavelica,Castrovirreyna,Aurahua,Aurahua
080405,090404,Huancavelica,Castrovirreyna,Capillas,Capillas
080406,090406,Huancavelica,Castrovirreyna,Cocas,Cocas
080408,090405,Huancavelica,Castrovirreyna,Chupamarca,Chupamarca
080409,090407,Huancavelica,Castrovirreyna,Huachos,Huachos
080410,090408,Huancavelica,Castrovirreyna,Huamatambo,Huamatambo
080414,090409,Huancavelica,Castrovirreyna,Mollepampa,Mollepampa
080422,090410,Huancavelica,Castrovirreyna,San Juan,San Juan
080427,090412,Huancavelica,Castrovirreyna,Tantara,Tantara
080428,090413,Huancavelica,Castrovirreyna,Ticrapo,Ticrapo
080429,090411,Huancavelica,Castrovirreyna,Santa Ana,Santa Ana
080501,090701,Huancavelica,Tayacaja,Pampas,Pampas
080502,090702,Huancavelica,Tayacaja,Acostambo,Acostambo
080503,090703,Huancavelica,Tayacaja,Acraquia,Acraquia
080504,090704,Huancavelica,Tayacaja,Ahuaycha,Ahuaycha
080506,090705,Huancavelica,Tayacaja,Colcabamba,Colcabamba
080509,090706,Huancavelica,Tayacaja,Daniel Hernández,Daniel Hernández
080511,090707,Huancavelica,Tayacaja,Huachocolpa,Huachocolpa
080512,090709,Huancavelica,Tayacaja,Huaribamba,Huaribamba
080515,090710,Huancavelica,Tayacaja,Ñahuimpuquio,Ñahuimpuquio
080517,090711,Huancavelica,Tayacaja,Pazos,Pazos
080518,090713,Huancavelica,Tayacaja,Quishuar,Quishuar
080519,090714,Huancavelica,Tayacaja,Salcabamba,Salcabamba
080520,090716,Huancavelica,Tayacaja,San Marcos de Rocchac,San Marcos de Rocchac
080523,090717,Huancavelica,Tayacaja,Surcubamba,Surcubamba
080525,090718,Huancavelica,Tayacaja,Tintay Puncu,Tintay Puncu
080526,090715,Huancavelica,Tayacaja,Salcahuasi,Salcahuasi
080528,090720,Huancavelica,Tayacaja,Quichuas,Andaymarca
080529,090719,Huancavelica,Tayacaja,Andaymarca,Quichuas
080530,090721,Huancavelica,Tayacaja,Roble,Roble
080531,090722,Huancavelica,Tayacaja,Pichos,Pichos
080532,090723,Huancavelica,Tayacaja,Santiago de Tucuma,Santiago de Tucuma
080601,090602,Huancavelica,Huaytará,Ayavi,Ayavi
080602,090603,Huancavelica,Huaytará,Córdova,Córdova
080603,090604,Huancavelica,Huaytará,Huayacundo Arma,Huayacundo Arma
080604,090601,Huancavelica,Huaytará,Huaytara,Huaytara
080605,090605,Huancavelica,Huaytará,Laramarca,Laramarca
080606,090606,Huancavelica,Huaytará,Ocoyo,Ocoyo
080607,090607,Huancavelica,Huaytará,Pilpichaca,Pilpichaca
080608,090608,Huancavelica,Huaytará,Querco,Querco
080609,090609,Huancavelica,Huaytará,Quito-Arma,Quito-Arma
080610,090610,Huancavelica,Huaytará,San Antonio de Cusicancha,San Antonio de Cusicancha
080611,090611,Huancavelica,Huaytará,San Francisco de Sangayaico,San Francisco de Sangayaico
080612,090612,Huancavelica,Huaytará,San Isidro,San Isidro
080613,090613,Huancavelica,Huaytará,Santiago de Chocorvos,Santiago de Chocorvos
080614,090614,Huancavelica,Huaytará,Santiago de Quirahuara,Santiago de Quirahuara
080615,090615,Huancavelica,Huaytará,Santo Domingo de Capillas,Santo Domingo de Capillas
080616,090616,Huancavelica,Huaytará,Tambo,Tambo
080701,090501,Huancavelica,Churcampa,Churcampa,Churcampa
080702,090502,Huancavelica,Churcampa,Anco,Anco
080703,090503,Huancavelica,Churcampa,Chinchihuasi,Chinchihuasi
080704,090504,Huancavelica,Churcampa,El Carmen,El Carmen
080705,090505,Huancavelica,Churcampa,La Merced,La Merced
080706,090506,Huancavelica,Churcampa,Locroja,Locroja
080707,090507,Huancavelica,Churcampa,Paucarbamba,Paucarbamba
080708,090508,Huancavelica,Churcampa,San Miguel de Mayocc,San Miguel de Mayocc
080709,090509,Huancavelica,Churcampa,San Pedro de Coris,San Pedro de Coris
080710,090510,Huancavelica,Churcampa,Pachamarca,Pachamarca
080711,090511,Huancavelica,Churcampa,Cosme,Cosme
