ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
100101,110101,Ica,Ica,Ica,Ica
100102,110102,Ica,Ica,La Tinguiña,La Tinguiña
100103,110103,Ica,Ica,Los Aquijes,Los Aquijes
100104,110106,Ica,Ica,Parcona,Parcona
100105,110107,Ica,Ica,Pueblo Nuevo,Pueblo Nuevo
100106,110108,Ica,Ica,Salas,Salas
100107,110109,Ica,Ica,San José de Los Molinos,San José de Los Molinos
100108,110110,Ica,Ica,San Juan Bautista,San Juan Bautista
100109,110111,Ica,Ica,Santiago,Santiago
100110,110112,Ica,Ica,Subtanjalla,Subtanjalla
100111,110114,Ica,Ica,Yauca del Rosario,Yauca del Rosario
100112,110113,Ica,Ica,Tate,Tate
100113,110105,Ica,Ica,Pachacútec,Pachacutec
100114,110104,Ica,Ica,Ocucaje,Ocucaje
100201,110201,Ica,Chincha,Chincha Alta,Chincha Alta
100202,110203,Ica,Chincha,Chavín,Chavin
100203,110204,Ica,Chincha,Chincha Baja,Chincha Baja
100204,110205,Ica,Chincha,El Carmen,El Carmen
100205,110206,Ica,Chincha,Grocio Prado,Grocio Prado
100206,110209,Ica,Chincha,San Pedro de Huacarpana,San Pedro de Huacarpana
100207,110210,Ica,Chincha,Sunampe,Sunampe
100208,110211,Ica,Chincha,Tambo de Mora,Tambo de Mora
100209,110202,Ica,Chincha,Alto Larán,Alto Laran
100210,110207,Ica,Chincha,Pueblo Nuevo,Pueblo Nuevo
100211,110208,Ica,Chincha,San Juan de Yanac,San Juan de Yanac
100301,110301,Ica,Nasca,Nasca,Nasca
100302,110302,Ica,Nasca,Changuillo,Changuillo
100303,110303,Ica,Nasca,El Ingenio,El Ingenio
100304,110304,Ica,Nasca,Marcona,Marcona
100305,110305,Ica,Nasca,Vista Alegre,Vista Alegre
100401,110501,Ica,Pisco,Pisco,Pisco
100402,110502,Ica,Pisco,Huancano,Huancano
100403,110503,Ica,Pisco,Humay,Humay
100404,110504,Ica,Pisco,Independencia,Independencia
100405,110505,Ica,Pisco,Paracas,Paracas
100406,110506,Ica,Pisco,San Andrés,San Andrés
100407,110507,Ica,Pisco,San Clemente,San Clemente
100408,110508,Ica,Pisco,Túpac Amaru Inca,Tupac Amaru Inca
100501,110401,Ica,Palpa,Palpa,Palpa
100502,110402,Ica,Palpa,Llipata,Llipata
100503,110403,Ica,Palpa,Río Grande,Río Grande
100504,110404,Ica,Palpa,Santa Cruz,Santa Cruz
100505,110405,Ica,Palpa,Tibillo,Tibillo
