ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
110101,120101,Junín,Huancayo,Huancayo,Huancayo
110103,120104,Junín,Huancayo,Carhuacallanga,Carhuacallanga
110104,120112,Junín,Huancayo,Colca,Colca
110105,120113,Junín,Huancayo,Cullhuas,Cullhuas
110106,120105,Junín,Huancayo,Chacapampa,Chacapampa
110107,120106,Junín,Huancayo,Chicche,Chicche
110108,120107,Junín,Huancayo,Chilca,Chilca
110109,120108,Junín,Huancayo,Chongos Alto,Chongos Alto
110112,120111,Junín,Huancayo,Chupuro,Chupuro
110113,120114,Junín,Huancayo,El Tambo,El Tambo
110114,120116,Junín,Huancayo,Huacrapuquio,Huacrapuquio
110116,120117,Junín,Huancayo,Hualhuas,Hualhuas
110118,120119,Junín,Huancayo,Huancán,Huancan
110119,120120,Junín,Huancayo,Huasicancha,Huasicancha
110120,120121,Junín,Huancayo,Huayucachi,Huayucachi
110121,120122,Junín,Huancayo,Ingenio,Ingenio
110122,120124,Junín,Huancayo,Pariahuanca,Pariahuanca
110123,120125,Junín,Huancayo,Pilcomayo,Pilcomayo
110124,120126,Junín,Huancayo,Pucara,Pucara
110125,120127,Junín,Huancayo,Quichuay,Quichuay
110126,120128,Junín,Huancayo,Quilcas,Quilcas
110127,120129,Junín,Huancayo,San Agustín,San Agustín
110128,120130,Junín,Huancayo,San Jerónimo de Tunán,San Jerónimo de Tunan
110131,120135,Junín,Huancayo,Santo Domingo de Acobamba,Santo Domingo de Acobamba
110132,120132,Junín,Huancayo,Saño,Saño
110133,120133,Junín,Huancayo,Sapallanga,Sapallanga
110134,120134,Junín,Huancayo,Sicaya,Sicaya
110136,120136,Junín,Huancayo,Viques,Viques
110201,120201,Junín,Concepción,Concepción,Concepción
110202,120202,Junín,Concepción,Aco,Aco
110203,120203,Junín,Concepción,Andamarca,Andamarca
110204,120206,Junín,Concepción,Comas,Comas
110205,120205,Junín,Concepción,Cochas,Cochas
110206,120204,Junín,Concepción,Chambara,Chambara
110207,120207,Junín,Concepción,Heroínas Toledo,Heroínas Toledo
110208,120208,Junín,Concepción,Manzanares,Manzanares
110209,120209,Junín,Concepción,Mariscal Castilla,Mariscal Castilla
110210,120210,Junín,Concepción,Matahuasi,Matahuasi
110211,120211,Junín,Concepción,Mito,Mito
110212,120212,Junín,Concepción,Nueve de Julio,Nueve de Julio
110213,120213,Junín,Concepción,Orcotuna,Orcotuna
110214,120215,Junín,Concepción,Santa Rosa de Ocopa,Santa Rosa de Ocopa
110215,120214,Junín,Concepción,San José de Quero,San José de Quero
110301,120401,Junín,Jauja,Jauja,Jauja
110302,120402,Junín,Jauja,Acolla,Acolla
110303,120403,Junín,Jauja,Apata,Apata
110304,120404,Junín,Jauja,Ataura,Ataura
110305,120405,Junín,Jauja,Canchayllo,Canchayllo
110306,120407,Junín,Jauja,El Mantaro,El Mantaro
110307,120408,Junín,Jauja,Huamalí,Huamali
110308,120409,Junín,Jauja,Huaripampa,Huaripampa
110309,120410,Junín,Jauja,Huertas,Huertas
110310,120411,Junín,Jauja,Janjaillo,Janjaillo
110311,120412,Junín,Jauja,Julcán,Julcán
110312,120413,Junín,Jauja,Leonor Ordóñez,Leonor Ordóñez
110313,120414,Junín,Jauja,Llocllapampa,Llocllapampa
110314,120415,Junín,Jauja,Marco,Marco
110315,120416,Junín,Jauja,Masma,Masma
110316,120418,Junín,Jauja,Molinos,Molinos
110317,120419,Junín,Jauja,Monobamba,Monobamba
110318,120420,Junín,Jauja,Muqui,Muqui
110319,120421,Junín,Jauja,Muquiyauyo,Muquiyauyo
110320,120422,Junín,Jauja,Paca,Paca
110321,120423,Junín,Jauja,Paccha,Paccha
