ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
120101,130101,La Libertad,Trujillo,Trujillo,Trujillo
120102,130104,La Libertad,Trujillo,Huanchaco,Huanchaco
120103,130106,La Libertad,Trujillo,Laredo,Laredo
120104,130107,La Libertad,Trujillo,Moche,Moche
120105,130109,La Libertad,Trujillo,Salaverry,Salaverry
120106,130110,La Libertad,Trujillo,Simbal,Simbal
120107,130111,La Libertad,Trujillo,Victor larco Herrera,Victor Larco Herrera
120109,130108,La Libertad,Trujillo,Poroto,Poroto
120110,130102,La Libertad,Trujillo,El Porvenir,El Porvenir
120111,130105,La Libertad,Trujillo,La Esperanza,La Esperanza
120112,130103,La Libertad,Trujillo,Florencia de Mora,Florencia de Mora
120201,130301,La Libertad,Bolívar,Bolívar,Bolívar
120202,130302,La Libertad,Bolívar,Bambamarca,Bambamarca
120203,130303,La Libertad,Bolívar,Condormarca,Condormarca
120204,130304,La Libertad,Bolívar,Longotea,Longotea
120205,130306,La Libertad,Bolívar,Ucuncha,Ucuncha
120206,130305,La Libertad,Bolívar,Uchumarca,Uchumarca
120301,130901,La Libertad,Sánchez Carrión,Huamachuco,Huamachuco
120302,130903,La Libertad,Sánchez Carrión,Cochorco,Cochorco
120303,130904,La Libertad,Sánchez Carrión,Curgos,Curgos
120304,130902,La Libertad,Sánchez Carrión,Chugay,Chugay
120305,130905,La Libertad,Sánchez Carrión,Marcabal,Marcabal
120306,130906,La Libertad,Sánchez Carrión,Sanagoran,Sanagoran
120307,130907,La Libertad,Sánchez Carrión,Sarín,Sarin
120308,130908,La Libertad,Sánchez Carrión,Sartimbamba,Sartimbamba
120401,130601,La Libertad,Otuzco,Otuzco,Otuzco
120402,130602,La Libertad,Otuzco,Agallpampa,Agallpampa
120403,130604,La Libertad,Otuzco,Charat,Charat
120404,130605,La Libertad,Otuzco,Huaranchal,Huaranchal
120405,130606,La Libertad,Otuzco,La Cuesta,La Cuesta
120408,130610,La Libertad,Otuzco,Paranday,Paranday
120409,130611,La Libertad,Otuzco,Salpo,Salpo
120410,130613,La Libertad,Otuzco,Sinsicap,Sinsicap
120411,130614,La Libertad,Otuzco,Usquil,Usquil
120413,130608,La Libertad,Otuzco,Mache,Mache
120501,130701,La Libertad,Pacasmayo,San Pedro de Lloc,San Pedro de Lloc
120503,130702,La Libertad,Pacasmayo,Guadalupe,Guadalupe
120504,130703,La Libertad,Pacasmayo,Jequetepeque,Jequetepeque
120506,130704,La Libertad,Pacasmayo,Pacasmayo,Pacasmayo
120508,130705,La Libertad,Pacasmayo,San José,San José
120601,130801,La Libertad,Pataz,Tayabamba,Tayabamba
120602,130802,La Libertad,Pataz,Buldibuyo,Buldibuyo
120603,130803,La Libertad,Pataz,Chillia,Chillia
120604,130805,La Libertad,Pataz,Huaylillas,Huaylillas
120605,130804,La Libertad,Pataz,Huancaspata,Huancaspata
120606,130806,La Libertad,Pataz,Huayo,Huayo
120607,130807,La Libertad,Pataz,Ongon,Ongon
120608,130808,La Libertad,Pataz,Parcoy,Parcoy
120609,130809,La Libertad,Pataz,Pataz,Pataz
120610,130810,La Libertad,Pataz,Pias,Pias
120611,130812,La Libertad,Pataz,Taurija,Taurija
120612,130813,La Libertad,Pataz,Urpay,Urpay
120613,130811,La Libertad,Pataz,Santiago de Challas,Santiago de Challas
120701,131001,La Libertad,Santiago de Chuco,Santiago de Chuco,Santiago de Chuco
120702,131003,La Libertad,Santiago de Chuco,Cachicadan,Cachicadan
120703,131004,La Libertad,Santiago de Chuco,Mollebamba,Mollebamba
120704,131005,La Libertad,Santiago de Chuco,Mollepata,Mollepata
120705,131006,La Libertad,Santiago de Chuco,Quiruvilca,Quiruvilca
120706,131007,La Libertad,Santiago de Chuco,Santa Cruz de Chuca,Santa Cruz de Chuca
120707,131008,La Libertad,Santiago de Chuco,Sitabamba,Sitabamba
120708,131002,La Libertad,Santiago de Chuco,Angasmarca,Angasmarca
120801,130201,La Libertad,Ascope,Ascope,Ascope
120802,130202,La Libertad,Ascope,Chicama,Chicama
120803,130203,La Libertad,Ascope,Chocope,Chocope
120804,130207,La Libertad,Ascope,Santiago de Cao,Santiago de Cao
120805,130204,La Libertad,Ascope,Magdalena de Cao,Magdalena de Cao
120806,130205,La Libertad,Ascope,Paiján,Paijan
120807,130206,La Libertad,Ascope,Rázuri,Rázuri
120808,130208,La Libertad,Ascope,Casa Grande,Casa Grande
120901,130401,La Libertad,Chepén,Chepén,Chepen
120902,130402,La Libertad,Chepén,Pacanga,Pacanga
120903,130403,La Libertad,Chepén,Pueblo Nuevo,Pueblo Nuevo
121001,130501,La Libertad,Julcán,Julcán,Julcan
121002,130503,La Libertad,Julcán,Carabamba,Carabamba
121003,130502,La Libertad,Julcán,Calamarca,Calamarca
121004,130504,La Libertad,Julcán,Huaso,Huaso
121101,131101,La Libertad,Gran Chimú,Cascas,Cascas
121102,131102,La Libertad,Gran Chimú,Lucma,Lucma
121103,131103,La Libertad,Gran Chimú,Marmot,Marmot
121104,131104,La Libertad,Gran Chimú,Sayapullo,Sayapullo
121201,131201,La Libertad,Virú,Virú,Viru
121202,131202,La Libertad,Virú,Chao,Chao
121203,131203,La Libertad,Virú,Guadalupito,Guadalupito
