cod_dep_inei,desc_dep_inei,cod_prov_inei,desc_prov_inei,cod_ubigeo_inei,desc_ubigeo_inei,cod_dep_sunat,desc_dep_sunat,cod_prov_sunat,desc_prov_sunat,cod_ubigeo_sunat,desc_ubigeo_sunat,cod_dep_reniec,desc_dep_reniec,cod_prov_reniec,desc_prov_reniec,cod_ubigeo_reniec,desc_ubigeo_reniec,poblacion,superficie,latitud,longitud,region_natural,altitud
14,LAMBAYEQUE,1401,CHICLAYO,140101,CHICLAYO,14,LAMBAYEQUE,1401,CHICLAYO,140101,CHICLAYO,13,Lambayeque,1301,Chiclayo,130101,Chiclayo,298467,50.35,-6.7736,-79.8397,,34
14,LAMBAYEQUE,1401,CHICLAYO,140102,CHONGOYAPE,14,LAMBAYEQUE,1401,CHICLAYO,140102,CHONGOYAPE,13,Lambayeque,1301,Chiclayo,130102,Chongoyape,18101,712,-6.6428,-79.3842,,216
14,LAMBAYEQUE,1401,CHICLAYO,140103,ETEN,14,LAMBAYEQUE,1401,CHICLAYO,140103,ETEN,13,Lambayeque,1301,Chiclayo,130103,Eten,10599,84.78,-6.9072,-79.8644,,6
14,LAMBAYEQUE,1401,CHICLAYO,140104,ETEN PUERTO,14,LAMBAYEQUE,1401,CHICLAYO,140104,ETEN PUERTO,13,Lambayeque,1301,Chiclayo,130104,Eten Puerto,2160,14.48,-6.9269,-79.8664,,5
14,LAMBAYEQUE,1401,CHICLAYO,140105,JOSE LEONARDO ORTIZ,14,LAMBAYEQUE,1401,CHICLAYO,140105,JOSE LEONARDO ORTIZ,13,Lambayeque,1301,Chiclayo,130112,José Leonardo Ortiz,199144,28.22,-6.7592,-79.8408,,31
14,LAMBAYEQUE,1401,CHICLAYO,140106,LA VICTORIA,14,LAMBAYEQUE,1401,CHICLAYO,140106,LA VICTORIA,13,Lambayeque,1301,Chiclayo,130115,La Victoria,93069,29.36,-6.7883,-79.8367,,28
14,LAMBAYEQUE,1401,CHICLAYO,140107,LAGUNAS,14,LAMBAYEQUE,1401,CHICLAYO,140107,LAGUNAS,13,Lambayeque,1301,Chiclayo,130105,Lagunas,10436,429.27,-6.9911,-79.6244,,34
14,LAMBAYEQUE,1401,CHICLAYO,140108,MONSEFU,14,LAMBAYEQUE,1401,CHICLAYO,140108,MONSEFU,13,Lambayeque,1301,Chiclayo,130106,Monsefú,32314,44.94,-6.8786,-79.8714,,13
14,LAMBAYEQUE,1401,CHICLAYO,140109,NUEVA ARICA,14,LAMBAYEQUE,1401,CHICLAYO,140109,NUEVA ARICA,13,Lambayeque,1301,Chiclayo,130107,Nueva Arica,2331,208.63,-6.8731,-79.3386,,175
14,LAMBAYEQUE,1401,CHICLAYO,140110,OYOTUN,14,LAMBAYEQUE,1401,CHICLAYO,140110,OYOTUN,13,Lambayeque,1301,Chiclayo,130108,Oyotún,9879,455.4,-6.8458,-79.2981,,220
