ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
140201,150301,Lima,Cajatambo,Cajatambo,Cajatambo
140205,150302,Lima,Cajatambo,Copa,Copa
140206,150303,Lima,Cajatambo,Gorgor,Gorgor
140207,150304,Lima,Cajatambo,Huancapón,Huancapon
140208,150305,Lima,Cajatambo,Manas,Manas
140301,150401,Lima,Canta,Canta,Canta
140302,150402,Lima,Canta,Arahuay,Arahuay
140303,150403,Lima,Canta,Huamantanga,Huamantanga
140304,150404,Lima,Canta,Huaros,Huaros
140305,150405,Lima,Canta,Lachaqui,Lachaqui
140306,150406,Lima,Canta,San Buenaventura,San Buenaventura
140307,150407,Lima,Canta,Santa Rosa de Quives,Santa Rosa de Quives
140401,150501,Lima,Cañete,San Vicente de Cañete,San Vicente de Cañete
140402,150503,Lima,Cañete,Calango,Calango
140403,150504,Lima,Cañete,Cerro Azul,Cerro Azul
140404,150506,Lima,Cañete,Coayllo,Coayllo
140405,150505,Lima,Cañete,Chilca,Chilca
140406,150507,Lima,Cañete,Imperial,Imperial
140407,150508,Lima,Cañete,Lunahuaná,Lunahuana
140408,150509,Lima,Cañete,Mala,Mala
140409,150510,Lima,Cañete,Nuevo Imperial,Nuevo Imperial
140410,150511,Lima,Cañete,Pacaran,Pacaran
140411,150512,Lima,Cañete,Quilmana,Quilmana
140412,150513,Lima,Cañete,San Antonio,San Antonio
140413,150514,Lima,Cañete,San Luis,San Luis
140414,150515,Lima,Cañete,Santa Cruz de Flores,Santa Cruz de Flores
140415,150516,Lima,Cañete,Zúñiga,Zúñiga
140416,150502,Lima,Cañete,Asia,Asia
140501,150801,Lima,Huaura,Huacho,Huacho
140502,150802,Lima,Huaura,Ámbar,Ambar
140504,150803,Lima,Huaura,Caleta de Carquin,Caleta de Carquin
140505,150804,Lima,Huaura,Checras,Checras
140506,150805,Lima,Huaura,Hualmay,Hualmay
140507,150806,Lima,Huaura,Huaura,Huaura
140508,150807,Lima,Huaura,Leoncio Prado,Leoncio Prado
140509,150808,Lima,Huaura,Paccho,Paccho
140511,150809,Lima,Huaura,Santa Leonor,Santa Leonor
140512,150810,Lima,Huaura,Santa María,Santa María
140513,150811,Lima,Huaura,Sayán,Sayan
140516,150812,Lima,Huaura,Vegueta,Vegueta
140601,150701,Lima,Huarochirí,Matucana,Matucana
140602,150702,Lima,Huarochirí,Antioquía,Antioquia
140603,150703,Lima,Huarochirí,Callahuanca,Callahuanca
140604,150704,Lima,Huarochirí,Carampoma,Carampoma
140605,150724,Lima,Huarochirí,San Pedro de Casta,San Pedro de Casta
140606,150706,Lima,Huarochirí,Cuenca,Cuenca
140607,150705,Lima,Huarochirí,Chicla,Chicla
140608,150708,Lima,Huarochirí,Huanza,Huanza
140609,150709,Lima,Huarochirí,Huarochiri,Huarochiri
140610,150710,Lima,Huarochirí,Lahuaytambo,Lahuaytambo
140611,150711,Lima,Huarochirí,Langa,Langa
140612,150713,Lima,Huarochirí,Mariatana,Mariatana
140613,150714,Lima,Huarochirí,Ricardo Palma,Ricardo Palma
140614,150715,Lima,Huarochirí,San Andrés de Tupicocha,San Andrés de Tupicocha
140615,150716,Lima,Huarochirí,San Antonio,San Antonio
140616,150717,Lima,Huarochirí,San Bartolomé,San Bartolomé
