ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
140101,150101,Lima,Lima,Lima,Lima
140102,150102,Lima,Lima,Ancón,Ancón
140103,150103,Lima,Lima,Ate,Ate
140104,150105,Lima,Lima,Breña,Breña
140105,150106,Lima,Lima,Carabayllo,Carabayllo
140106,150110,Lima,Lima,Comas,Comas
140107,150107,Lima,Lima,Chaclacayo,Chaclacayo
140108,150108,Lima,Lima,Chorrillos,Chorrillos
140109,150115,Lima,Lima,La Victoria,La Victoria
140110,150114,Lima,Lima,La Molina,La Molina
140111,150116,Lima,Lima,Lince,Lince
140112,150118,Lima,Lima,Lurigancho,Lurigancho
140113,150119,Lima,Lima,Lurín,Lurin
140114,150120,Lima,Lima,Magdalena del Mar,Magdalena del Mar
140115,150122,Lima,Lima,Miraflores,Miraflores
140116,150123,Lima,Lima,Pachacamac,Pachacamac
140117,150121,Lima,Lima,Pueblo Libre,Pueblo Libre
140118,150124,Lima,Lima,Pucusana,Pucusana
140119,150125,Lima,Lima,Puente Piedra,Puente Piedra
140120,150126,Lima,Lima,Punta Hermosa,Punta Hermosa
140121,150127,Lima,Lima,Punta Negra,Punta Negra
140122,150128,Lima,Lima,Rímac,Rímac
140123,150129,Lima,Lima,San Bartolo,San Bartolo
140124,150131,Lima,Lima,San Isidro,San Isidro
140125,150104,Lima,Lima,Barranco,Barranco
140126,150135,Lima,Lima,San Martín de Porres,San Martín de Porres
140127,150136,Lima,Lima,San Miguel,San Miguel
140128,150138,Lima,Lima,Santa María del Mar,Santa María del Mar
140129,150139,Lima,Lima,Santa Rosa,Santa Rosa
140130,150140,Lima,Lima,Santiago de Surco,Santiago de Surco
140131,150141,Lima,Lima,Surquillo,Surquillo
140132,150143,Lima,Lima,Villa María del Triunfo,Villa María del Triunfo
140133,150113,Lima,Lima,Jesús María,Jesús María
140134,150112,Lima,Lima,Independencia,Independencia
140135,150111,Lima,Lima,El Agustino,El Agustino
140136,150133,Lima,Lima,San Juan de Miraflores,San Juan de Miraflores
140137,150132,Lima,Lima,San Juan de Lurigancho,San Juan de Lurigancho
140138,150134,Lima,Lima,San Luis,San Luis
140139,150109,Lima,Lima,Cieneguilla,Cieneguilla
140140,150130,Lima,Lima,San Borja,San Borja
140141,150142,Lima,Lima,Villa El Salvador,Villa El Salvador
140142,150117,Lima,Lima,Los Olivos,Los Olivos
140143,150137,Lima,Lima,Santa Anita,Santa Anita
