ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
150101,160101,Loreto,Maynas,Iquitos,Iquitos
150102,160102,Loreto,Maynas,Alto Nanay,Alto Nanay
150103,160103,Loreto,Maynas,Fernando Lores,Fernando Lores
150104,160105,Loreto,Maynas,Las Amazonas,Las Amazonas
150105,160106,Loreto,Maynas,Mazan,Mazan
150106,160107,Loreto,Maynas,Napo,Napo
150108,160110,Loreto,Maynas,Torres Causana,Torres Causana
150110,160104,Loreto,Maynas,Indiana,Indiana
150111,160108,Loreto,Maynas,Punchana,Punchana
150112,160112,Loreto,Maynas,Belén,Belén
150113,160113,Loreto,Maynas,San Juan Bautista,San Juan Bautista
150201,160201,Loreto,Alto Amazonas,Yurimaguas,Yurimaguas
150202,160202,Loreto,Alto Amazonas,Balsapuerto,Balsapuerto
150205,160205,Loreto,Alto Amazonas,Jeberos,Jeberos
150206,160206,Loreto,Alto Amazonas,Lagunas,Lagunas
150210,160210,Loreto,Alto Amazonas,Santa Cruz,Santa Cruz
150211,160211,Loreto,Alto Amazonas,Teniente César López Rojas,Teniente Cesar López Rojas
150301,160301,Loreto,Loreto,Nauta,Nauta
150302,160302,Loreto,Loreto,Parinari,Parinari
150303,160303,Loreto,Loreto,Tigre,Tigre
150304,160305,Loreto,Loreto,Urarinas,Urarinas
150305,160304,Loreto,Loreto,Trompeteros,Trompeteros
150401,160501,Loreto,Requena,Requena,Requena
150402,160502,Loreto,Requena,Alto Tapiche,Alto Tapiche
150403,160503,Loreto,Requena,Capelo,Capelo
150404,160504,Loreto,Requena,Emilio San Martín,Emilio San Martín
150405,160505,Loreto,Requena,Maquia,Maquia
150406,160506,Loreto,Requena,Puinahua,Puinahua
150407,160507,Loreto,Requena,Saquena,Saquena
150408,160508,Loreto,Requena,Soplin,Soplin
150409,160509,Loreto,Requena,Tapiche,Tapiche
150410,160510,Loreto,Requena,Jenaro Herrera,Jenaro Herrera
150411,160511,Loreto,Requena,Yaquerana,Yaquerana
150501,160601,Loreto,Ucayali,Contamana,Contamana
150502,160606,Loreto,Ucayali,Vargas Guerra,Vargas Guerra
150503,160603,Loreto,Ucayali,Padre Márquez,Padre Márquez
150504,160604,Loreto,Ucayali,Pampa Hermosa,Pampa Hermosa
150505,160605,Loreto,Ucayali,Sarayacu,Sarayacu
150506,160602,Loreto,Ucayali,Inahuaya,Inahuaya
150601,160401,Loreto,Mariscal Ramón Castilla,Ramón Castilla,Ramón Castilla
150602,160402,Loreto,Mariscal Ramón Castilla,Pebas,Pebas
150603,160403,Loreto,Mariscal Ramón Castilla,Yavarí,Yavari
150604,160404,Loreto,Mariscal Ramón Castilla,San Pablo,San Pablo
150701,160701,Loreto,Datem del Marañón,Barranca,Barranca
150702,160706,Loreto,Datem del Marañón,Andoas,Andoas
150703,160702,Loreto,Datem del Marañón,Cahuapanas,Cahuapanas
150704,160703,Loreto,Datem del Marañón,Manseriche,Manseriche
150705,160704,Loreto,Datem del Marañón,Morona,Morona
150706,160705,Loreto,Datem del Marañón,Pastaza,Pastaza
150901,160801,Loreto,Putumayo,Putumayo,Putumayo
150902,160802,Loreto,Putumayo,Rosa Panduro,Rosa Panduro
150903,160803,Loreto,Putumayo,Teniente Manuel Clavero,Teniente Manuel Clavero
150904,160804,Loreto,Putumayo,Yaguas,Yaguas
