ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
160101,170101,Madre de Dios,Tambopata,Tambopata,Tambopata
160102,170102,Madre de Dios,Tambopata,Inambari,Inambari
160103,170103,Madre de Dios,Tambopata,Las Piedras,Las Piedras
160104,170104,Madre de Dios,Tambopata,Laberinto,Laberinto
160201,170201,Madre de Dios,Manu,Manu,Manu
160202,170202,Madre de Dios,Manu,Fitzcarrald,Fitzcarrald
160203,170203,Madre de Dios,Manu,Madre de Dios,Madre de Dios
160204,170204,Madre de Dios,Manu,Huepetuhe,Huepetuhe
160301,170301,Madre de Dios,Tahuamanu,Iñapari,Iñapari
160302,170302,Madre de Dios,Tahuamanu,Iberia,Iberia
160303,170303,Madre de Dios,Tahuamanu,Tahuamanu,Tahuamanu
