ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
170101,180101,Moquegua,Mariscal Nieto,Moquegua,Moquegua
170102,180102,Moquegua,Mariscal Nieto,Carumas,Carumas
170103,180103,Moquegua,Mariscal Nieto,Cuchumbaya,Cuchumbaya
170104,180105,Moquegua,Mariscal Nieto,San Cristóbal,San Cristóbal
170105,180106,Moquegua,Mariscal Nieto,Torata,Torata
170106,180104,Moquegua,Mariscal Nieto,Samegua,Samegua
170201,180201,Moquegua,General Sánchez Cerro,Omate,Omate
170202,180203,Moquegua,General Sánchez Cerro,Coalaque,Coalaque
170203,180202,Moquegua,General Sánchez Cerro,Chojata,Chojata
170204,180204,Moquegua,General Sánchez Cerro,Ichuña,Ichuña
170205,180205,Moquegua,General Sánchez Cerro,La Capilla,La Capilla
170206,180206,Moquegua,General Sánchez Cerro,Lloque,Lloque
170207,180207,Moquegua,General Sánchez Cerro,Matalaque,Matalaque
170208,180208,Moquegua,General Sánchez Cerro,Puquina,Puquina
170209,180209,Moquegua,General Sánchez Cerro,Quinistaquillas,Quinistaquillas
170210,180210,Moquegua,General Sánchez Cerro,Ubinas,Ubinas
170211,180211,Moquegua,General Sánchez Cerro,Yunga,Yunga
170301,180301,Moquegua,Ilo,Ilo,Ilo
170302,180302,Moquegua,Ilo,El Algarrobal,El Algarrobal
170303,180303,Moquegua,Ilo,Pacocha,Pacocha
