ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
180101,190101,Pasco,Pasco,Chaupimarca,Chaupimarca
180103,190102,Pasco,Pasco,Huachón,Huachon
180104,190103,Pasco,Pasco,Huariaca,Huariaca
180105,190104,Pasco,Pasco,Huayllay,Huayllay
180106,190105,Pasco,Pasco,Ninacaca,Ninacaca
180107,190106,Pasco,Pasco,Pallanchacra,Pallanchacra
180108,190107,Pasco,Pasco,Paucartambo,Paucartambo
180109,190108,Pasco,Pasco,San Francisco de Asís de Yarusyacán,San Francisco de Asís de Yarusyacan
180110,190109,Pasco,Pasco,Simón Bolívar,Simon Bolívar
180111,190110,Pasco,Pasco,Ticlacayan,Ticlacayan
180112,190111,Pasco,Pasco,Tinyahuarco,Tinyahuarco
180113,190112,Pasco,Pasco,Vicco,Vicco
180114,190113,Pasco,Pasco,Yanacancha,Yanacancha
180201,190201,Pasco,Daniel Alcides Carrión,Yanahuanca,Yanahuanca
180202,190202,Pasco,Daniel Alcides Carrión,Chacayan,Chacayan
180203,190203,Pasco,Daniel Alcides Carrión,Goyllarisquizga,Goyllarisquizga
180204,190204,Pasco,Daniel Alcides Carrión,Paucar,Paucar
180205,190205,Pasco,Daniel Alcides Carrión,San Pedro de Pillao,San Pedro de Pillao
180206,190206,Pasco,Daniel Alcides Carrión,Santa Ana de Tusi,Santa Ana de Tusi
180207,190207,Pasco,Daniel Alcides Carrión,Tapuc,Tapuc
180208,190208,Pasco,Daniel Alcides Carrión,Vilcabamba,Vilcabamba
180301,190301,Pasco,Oxapampa,Oxapampa,Oxapampa
180302,190302,Pasco,Oxapampa,Chontabamba,Chontabamba
180303,190303,Pasco,Oxapampa,Huancabamba,Huancabamba
180304,190306,Pasco,Oxapampa,Puerto Bermúdez,Puerto Bermúdez
180305,190307,Pasco,Oxapampa,Villa Rica,Villa Rica
180306,190305,Pasco,Oxapampa,Pozuzo,Pozuzo
180307,190304,Pasco,Oxapampa,Palcazu,Palcazu
180308,190308,Pasco,Oxapampa,Constitución,Constitución
