ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
190101,200101,Piura,Piura,Piura,Piura
190103,200104,Piura,Piura,Castilla,Castilla
190104,200105,Piura,Piura,Catacaos,Atacaos
190105,200109,Piura,Piura,La Arena,La Arena
190106,200110,Piura,Piura,La Unión,La Unión
190107,200111,Piura,Piura,Las Lomas,Las Lomas
190109,200114,Piura,Piura,Tambo Grande,Tambo Grande
190113,200107,Piura,Piura,Cura Mori,Cura Mori
190114,200108,Piura,Piura,El Tallán,El Tallan
190115,200115,Piura,Piura,Veintiséis de Octubre,Veintiseis de Octubre
190201,200201,Piura,Ayabaca,Ayabaca,Ayabaca
190202,200202,Piura,Ayabaca,Frías,Frias
190203,200204,Piura,Ayabaca,Lagunas,Lagunas
190204,200205,Piura,Ayabaca,Montero,Montero
190205,200206,Piura,Ayabaca,Pacaipampa,Pacaipampa
190206,200208,Piura,Ayabaca,Sapillica,Sapillica
190207,200209,Piura,Ayabaca,Sicchez,Sicchez
190208,200210,Piura,Ayabaca,Suyo,Suyo
190209,200203,Piura,Ayabaca,Jilili,Jilili
190210,200207,Piura,Ayabaca,Paimas,Paimas
190301,200301,Piura,Huancabamba,Huancabamba,Huancabamba
190302,200302,Piura,Huancabamba,Canchaque,Canchaque
190303,200304,Piura,Huancabamba,Huarmaca,Huarmaca
190304,200307,Piura,Huancabamba,Sondor,Sondor
190305,200308,Piura,Huancabamba,Sondorillo,Sondorillo
190306,200303,Piura,Huancabamba,El Carmen de la Frontera,El Carmen de la Frontera
190307,200306,Piura,Huancabamba,San Miguel de El Faique,San Miguel de El Faique
190308,200305,Piura,Huancabamba,Lalaquiz,Lalaquiz
190401,200401,Piura,Morropón,Chulucanas,Chulucanas
190402,200402,Piura,Morropón,Buenos Aires,Buenos Aires
190403,200403,Piura,Morropón,Chalaco,Chalaco
190404,200405,Piura,Morropón,Morropón,Morropon
190405,200406,Piura,Morropón,Salitral,Salitral
190406,200408,Piura,Morropón,Santa Catalina de Mossa,Santa Catalina de Mossa
190407,200409,Piura,Morropón,Santo Domingo,Santo Domingo
190408,200404,Piura,Morropón,La Matanza,La Matanza
190409,200410,Piura,Morropón,Yamango,Yamango
190410,200407,Piura,Morropón,San Juan de Bigote,San Juan de Bigote
190501,200501,Piura,Paita,Paita,Paita
190502,200502,Piura,Paita,Amotape,Amotape
190503,200503,Piura,Paita,Arenal,Arenal
190504,200505,Piura,Paita,La Huaca,La Huaca
190505,200504,Piura,Paita,Colan,Colan
190506,200506,Piura,Paita,Tamarindo,Tamarindo
190507,200507,Piura,Paita,Vichayal,Vichayal
190601,200601,Piura,Sullana,Sullana,Sullana
190602,200602,Piura,Sullana,Bellavista,Bellavista
190603,200604,Piura,Sullana,Lancones,Lancones
190604,200605,Piura,Sullana,Marcavelica,Marcavelica
190605,200606,Piura,Sullana,Miguel Checa,Miguel Checa
190606,200607,Piura,Sullana,Querecotillo,Querecotillo
190607,200608,Piura,Sullana,Salitral,Salitral
190608,200603,Piura,Sullana,Ignacio Escudero,Ignacio Escudero
190701,200701,Piura,Talara,Pariñas,Pariñas
190702,200702,Piura,Talara,El Alto,El Alto
190703,200703,Piura,Talara,La Brea,La Brea
190704,200704,Piura,Talara,Lobitos,Lobitos
190705,200706,Piura,Talara,Máncora,Mancora
190706,200705,Piura,Talara,Los Órganos,Los Organos
190801,200801,Piura,Sechura,Sechura,Sechura
190802,200805,Piura,Sechura,Vice,Vice
190803,200803,Piura,Sechura,Bernal,Bernal
190804,200802,Piura,Sechura,Bellavista de la Unión,Bellavista de la Unión
190805,200804,Piura,Sechura,Cristo Nos Valga,Cristo Nos Valga
190806,200806,Piura,Sechura,Rinconada Llicuar,Rinconada Llicuar
