ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
200101,210101,Puno,Puno,Puno,Puno
200102,210102,Puno,Puno,Ácora,Acora
200103,210104,Puno,Puno,Atuncolla,Atuncolla
200104,210105,Puno,Puno,Capachica,Capachica
200105,210107,Puno,Puno,Coata,Coata
200106,210106,Puno,Puno,Chucuito,Chucuito
200107,210108,Puno,Puno,Huata,Huata
200108,210109,Puno,Puno,Mañazo,Mañazo
200109,210110,Puno,Puno,Paucarcolla,Paucarcolla
200110,210111,Puno,Puno,Pichacani,Pichacani
200111,210113,Puno,Puno,San Antonio,San Antonio
200112,210114,Puno,Puno,Tiquillaca,Tiquillaca
200113,210115,Puno,Puno,Vilque,Vilque
200114,210112,Puno,Puno,Platería,Plateria
200115,210103,Puno,Puno,Amantaní,Amantani
200201,210201,Puno,Azángaro,Azángaro,Azángaro
200202,210202,Puno,Azángaro,Achaya,Achaya
200203,210203,Puno,Azángaro,Arapa,Arapa
200204,210204,Puno,Azángaro,Asillo,Asillo
200205,210205,Puno,Azángaro,Caminaca,Caminaca
200206,210206,Puno,Azángaro,Chupa,Chupa
200207,210207,Puno,Azángaro,José Domingo Choquehuanca,José Domingo Choquehuanca
200208,210208,Puno,Azángaro,Muñani,Muñani
200210,210209,Puno,Azángaro,Potoni,Potoni
200212,210210,Puno,Azángaro,Samán,Saman
200213,210211,Puno,Azángaro,San Antón,San Anton
200214,210212,Puno,Azángaro,San José,San José
200215,210213,Puno,Azángaro,San Juan de Salinas,San Juan de Salinas
200216,210214,Puno,Azángaro,Santiago de Pupuja,Santiago de Pupuja
200217,210215,Puno,Azángaro,Tirapata,Tirapata
200301,210301,Puno,Carabaya,Macusani,Macusani
200302,210302,Puno,Carabaya,Ajoyani,Ajoyani
200303,210303,Puno,Carabaya,Ayapata,Ayapata
200304,210304,Puno,Carabaya,Coasa,Coasa
200305,210305,Puno,Carabaya,Corani,Corani
200306,210306,Puno,Carabaya,Crucero,Crucero
200307,210307,Puno,Carabaya,Ituata,Ituata
200308,210308,Puno,Carabaya,Ollachea,Ollachea
200309,210309,Puno,Carabaya,San Gabán,San Gaban
200310,210310,Puno,Carabaya,Usicayos,Usicayos
200401,210401,Puno,Chucuito,Juli,Juli
200402,210402,Puno,Chucuito,Desaguadero,Desaguadero
