ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
210101,220101,San Martín,Moyobamba,Moyobamba,Moyobamba
210102,220102,San Martín,Moyobamba,Calzada,Calzada
210103,220103,San Martín,Moyobamba,Habana,Habana
210104,220104,San Martín,Moyobamba,Jepelacio,Jepelacio
210105,220105,San Martín,Moyobamba,Soritor,Soritor
210106,220106,San Martín,Moyobamba,Yantalo,Yantalo
210201,220401,San Martín,Huallaga,Saposoa,Saposoa
210202,220404,San Martín,Huallaga,Piscoyacu,Piscoyacu
210203,220405,San Martín,Huallaga,Sacanche,Sacanche
210204,220406,San Martín,Huallaga,Tingo de Saposoa,Tingo de Saposoa
210205,220402,San Martín,Huallaga,Alto Saposoa,Alto Saposoa
210206,220403,San Martín,Huallaga,El Eslabón,El Eslabón
210301,220501,San Martín,Lamas,Lamas,Lamas
210303,220503,San Martín,Lamas,Barranquita,Barranquita
210304,220504,San Martín,Lamas,Caynarachi,Caynarachi
210305,220505,San Martín,Lamas,Cuñumbuqui,Cuñumbuqui
210306,220506,San Martín,Lamas,Pinto Recodo,Pinto Recodo
210307,220507,San Martín,Lamas,Rumisapa,Rumisapa
210311,220509,San Martín,Lamas,Shanao,Shanao
210313,220510,San Martín,Lamas,Tabalosos,Tabalosos
210314,220511,San Martín,Lamas,Zapatero,Zapatero
210315,220502,San Martín,Lamas,Alonso de Alvarado,Alonso de Alvarado
210316,220508,San Martín,Lamas,San Roque de Cumbaza,San Roque de Cumbaza
210401,220601,San Martín,Mariscal Cáceres,Juanjuí,Juanjuí
210402,220602,San Martín,Mariscal Cáceres,Campanilla,Campanilla
210403,220603,San Martín,Mariscal Cáceres,Huicungo,Huicungo
210404,220604,San Martín,Mariscal Cáceres,Pachiza,Pachiza
210405,220605,San Martín,Mariscal Cáceres,Pajarillo,Pajarillo
210501,220801,San Martín,Rioja,Rioja,Rioja
210502,220806,San Martín,Rioja,Posic,Posic
210503,220808,San Martín,Rioja,Yorongos,Yorongos
210504,220809,San Martín,Rioja,Yuracyacu,Yuracyacu
210505,220804,San Martín,Rioja,Nueva Cajamarca,Nueva Cajamarca
210506,220803,San Martín,Rioja,Elías Soplín Vargas,Elías Soplin Vargas
210507,220807,San Martín,Rioja,San Fernando,San Fernando
210508,220805,San Martín,Rioja,Pardo Miguel,Pardo Miguel
210509,220802,San Martín,Rioja,Awajun,Awajun
210601,220901,San Martín,San Martín,Tarapoto,Tarapoto
210602,220902,San Martín,San Martín,Alberto Leveau,Alberto Leveau
210604,220903,San Martín,San Martín,Cacatachi,Cacatachi
210606,220904,San Martín,San Martín,Chazuta,Chazuta
210607,220905,San Martín,San Martín,Chipurana,Chipurana
210608,220906,San Martín,San Martín,El Porvenir,El Porvenir
210609,220907,San Martín,San Martín,Huimbayoc,Huimbayoc
210610,220908,San Martín,San Martín,Juan Guerra,Juan Guerra
210611,220910,San Martín,San Martín,Morales,Morales
210612,220911,San Martín,San Martín,Papaplaya,Papaplaya
210616,220912,San Martín,San Martín,San Antonio,San Antonio
210619,220913,San Martín,San Martín,Sauce,Sauce
210620,220914,San Martín,San Martín,Shapaja,Shapaja
210621,220909,San Martín,San Martín,La Banda de Shilcayo,La Banda de Shilcayo
210701,220201,San Martín,Bellavista,Bellavista,Bellavista
210702,220206,San Martín,Bellavista,San Rafael,San Rafael
210703,220205,San Martín,Bellavista,San Pablo,San Pablo
210704,220202,San Martín,Bellavista,Alto Biavo,Alto Biavo
210705,220204,San Martín,Bellavista,Huallaga,Huallaga
210706,220203,San Martín,Bellavista,Bajo Biavo,Bajo Biavo
210801,221001,San Martín,Tocache,Tocache,Tocache
210802,221002,San Martín,Tocache,Nuevo Progreso,Nuevo Progreso
210803,221003,San Martín,Tocache,Pólvora,Polvora
210804,221004,San Martín,Tocache,Shunte,Shunte
210805,221005,San Martín,Tocache,Uchiza,Uchiza
210901,220701,San Martín,Picota,Picota,Picota
210902,220702,San Martín,Picota,Buenos Aires,Buenos Aires
210903,220703,San Martín,Picota,Caspizapa,Caspisapa
210904,220704,San Martín,Picota,Pilluana,Pilluana
210905,220705,San Martín,Picota,Pucacaca,Pucacaca
210906,220706,San Martín,Picota,San Cristóbal,San Cristóbal
210907,220707,San Martín,Picota,San Hilarión,San Hilarión
210908,220709,San Martín,Picota,Tingo de Ponasa,Tingo de Ponasa
210909,220710,San Martín,Picota,Tres Unidos,Tres Unidos
210910,220708,San Martín,Picota,Shamboyacu,Shamboyacu
211001,220301,San Martín,El Dorado,San José de Sisa,San José de Sisa
211002,220302,San Martín,El Dorado,Agua Blanca,Agua Blanca
211003,220305,San Martín,El Dorado,Shatoja,Shatoja
211004,220303,San Martín,El Dorado,San Martín,San Martín
211005,220304,San Martín,El Dorado,Santa Rosa,Santa Rosa
