ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
010101,010101,Amazonas,Chachapoyas,Chachapoyas,Chachapoyas
010102,010102,Amazonas,Chachapoyas,Asunción,Asunción
010103,010103,Amazonas,Chachapoyas,Balsas,Balsas
010104,010104,Amazonas,Chachapoyas,Cheto,Cheto
010105,010105,Amazonas,Chachapoyas,Chiliquin,Chiliquin
010106,010106,Amazonas,Chachapoyas,Chuquibamba,Chuquibamba
010107,010107,Amazonas,Chachapoyas,Granada,Granada
010108,010108,Amazonas,Chachapoyas,Huancas,Huancas
010109,010109,Amazonas,Chachapoyas,La Jalca,La Jalca
010110,010110,Amazonas,Chachapoyas,Leimebamba,Leimebamba
010111,010111,Amazonas,Chachapoyas,Levanto,Levanto
010112,010112,Amazonas,Chachapoyas,Magdalena,Magdalena
010113,010113,Amazonas,Chachapoyas,Mariscal Castilla,Mariscal Castilla
010114,010114,Amazonas,Chachapoyas,Molinopampa,Molinopampa
010115,010115,Amazonas,Chachapoyas,Montevideo,Montevideo
010116,010116,Amazonas,Chachapoyas,Olleros,Olleros
010117,010117,Amazonas,Chachapoyas,Quinjalca,Quinjalca
010118,010118,Amazonas,Chachapoyas,San Francisco de Daguas,San Francisco de Daguas
010119,010119,Amazonas,Chachapoyas,San Isidro de Maino,San Isidro de Maino
010120,010120,Amazonas,Chachapoyas,Soloco,Soloco
010121,010121,Amazonas,Chachapoyas,Sonche,Sonche
010201,010206,Amazonas,Bagua,La Peca,La Peca
010202,010202,Amazonas,Bagua,Aramango,Aramango
010203,010203,Amazonas,Bagua,Copallin,Copallin
010204,010204,Amazonas,Bagua,El Parco,El Parco
010205,010201,Amazonas,Bagua,Bagua,Bagua
010206,010205,Amazonas,Bagua,Imaza,Imaza
010301,010301,Amazonas,Bongará,Jumbilla,Jumbilla
010302,010304,Amazonas,Bongará,Corosha,Corosha
010303,010305,Amazonas,Bongará,Cuispes,Cuispes
010304,010302,Amazonas,Bongará,Chisquilla,Chisquilla
010305,010303,Amazonas,Bongará,Churuja,Churuja
010306,010306,Amazonas,Bongará,Florida,Florida
010307,010308,Amazonas,Bongará,Recta,Recta
010308,010309,Amazonas,Bongará,San Carlos,San Carlos
010309,010310,Amazonas,Bongará,Shipasbamba,Shipasbamba
010310,010311,Amazonas,Bongará,Valera,Valera
010311,010312,Amazonas,Bongará,Yambrasbamba,Yambrasbamba
010312,010307,Amazonas,Bongará,Jazan,Jazan
010401,010501,Amazonas,Luya,Lamud,Lamud
010402,010502,Amazonas,Luya,Camporredondo,Camporredondo
010403,010503,Amazonas,Luya,Cocabamba,Cocabamba
010404,010504,Amazonas,Luya,Colcamar,Colcamar
010405,010505,Amazonas,Luya,Conila,Conila
010406,010506,Amazonas,Luya,Inguilpata,Inguilpata
010407,010507,Amazonas,Luya,Longuita,Longuita
010408,010508,Amazonas,Luya,Lonya Chico,Lonya Chico
010409,010509,Amazonas,Luya,Luya,Luya
010410,010510,Amazonas,Luya,Luya Viejo,Luya Viejo
010411,010511,Amazonas,Luya,María,María
010412,010512,Amazonas,Luya,Ocalli,Ocalli
010413,010513,Amazonas,Luya,Ocumal,Ocumal
010414,010514,Amazonas,Luya,Pisuquia,Pisuquia
010415,010516,Amazonas,Luya,San Cristóbal,San Cristóbal
010416,010517,Amazonas,Luya,San Francisco de Yeso,San Francisco de Yeso
010417,010518,Amazonas,Luya,San Jerónimo,San Jerónimo
010418,010519,Amazonas,Luya,San Juan de Lopecancha,San Juan de Lopecancha
010419,010520,Amazonas,Luya,Santa Catalina,Santa Catalina
010420,010521,Amazonas,Luya,Santo Tomás,Santo Tomas
010421,010522,Amazonas,Luya,Tingo,Tingo
010422,010523,Amazonas,Luya,Trita,Trita
010423,010515,Amazonas,Luya,Providencia,Providencia
010501,010601,Amazonas,Rodríguez de Mendoza,San Nicolás,San Nicolás
010502,010603,Amazonas,Rodríguez de Mendoza,Cochamal,Cochamal
010503,010602,Amazonas,Rodríguez de Mendoza,Chirimoto,Chirimoto
010504,010604,Amazonas,Rodríguez de Mendoza,Huambo,Huambo
010505,010605,Amazonas,Rodríguez de Mendoza,Limabamba,Limabamba
010506,010606,Amazonas,Rodríguez de Mendoza,Longar,Longar
010507,010608,Amazonas,Rodríguez de Mendoza,Milpuc,Milpuc
010508,010607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,Mariscal Benavides
010509,010609,Amazonas,Rodríguez de Mendoza,Omia,Omia
010510,010610,Amazonas,Rodríguez de Mendoza,Santa Rosa,Santa Rosa
010511,010611,Amazonas,Rodríguez de Mendoza,Totora,Totora
010512,010612,Amazonas,Rodríguez de Mendoza,Vista Alegre,Vista Alegre
010601,010401,Amazonas,Condorcanqui,Nieva,Nieva
010602,010403,Amazonas,Condorcanqui,Río Santiago,Río Santiago
010603,010402,Amazonas,Condorcanqui,El Cenepa,El Cenepa
010701,010701,Amazonas,Utcubamba,Bagua Grande,Bagua Grande
010702,010702,Amazonas,Utcubamba,Cajaruro,Cajaruro
010703,010703,Amazonas,Utcubamba,Cumba,Cumba
010704,010704,Amazonas,Utcubamba,El Milagro,El Milagro
010705,010705,Amazonas,Utcubamba,Jamalca,Jamalca
010706,010706,Amazonas,Utcubamba,Lonya Grande,Lonya Grande
010707,010707,Amazonas,Utcubamba,Yamon,Yamon
020101,020101,Áncash,Huaraz,Huaraz,Huaraz
020102,020105,Áncash,Huaraz,Independencia,Independencia
020103,020102,Áncash,Huaraz,Cochabamba,Cochabamba
020104,020103,Áncash,Huaraz,Colcabamba,Colcabamba
020105,020104,Áncash,Huaraz,Huanchay,Huanchay
020106,020106,Áncash,Huaraz,Jangas,Jangas
020107,020107,Áncash,Huaraz,La Libertad,La Libertad
020108,020108,Áncash,Huaraz,Olleros,Olleros
