ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
220101,230101,Tacna,Tacna,Tacna,Tacna
220102,230103,Tacna,Tacna,Calana,Calana
220104,230105,Tacna,Tacna,Inclán,Inclan
220107,230106,Tacna,Tacna,Pachia,Pachia
220108,230107,Tacna,Tacna,Palca,Palca
220109,230108,Tacna,Tacna,Pocollay,Pocollay
220110,230109,Tacna,Tacna,Sama,Sama
220111,230102,Tacna,Tacna,Alto de la Alianza,Alto de la Alianza
220112,230104,Tacna,Tacna,Ciudad Nueva,Ciudad Nueva
220113,230110,Tacna,Tacna,Coronel Gregorio Albarracín Lanchipa,Coronel Gregorio Albarracín Lanchipa
220114,230111,Tacna,Tacna,La Yarada Los Palos,La Yarada los Palos
220201,230401,Tacna,Tarata,Tarata,Tarata
220205,230402,Tacna,Tarata,Héroes Albarracín,Héroes Albarracín
220206,230403,Tacna,Tarata,Estique,Estique
220207,230404,Tacna,Tarata,Estique Pampa,Estique-Pampa
220210,230405,Tacna,Tarata,Sitajara,Sitajara
220211,230406,Tacna,Tarata,Susapaya,Susapaya
220212,230407,Tacna,Tarata,Tarucachi,Tarucachi
220213,230408,Tacna,Tarata,Ticaco,Ticaco
220301,230301,Tacna,Jorge Basadre,Locumba,Locumba
220302,230303,Tacna,Jorge Basadre,Ite,Ite
220303,230302,Tacna,Jorge Basadre,Ilabaya,Ilabaya
220401,230201,Tacna,Candarave,Candarave,Candarave
220402,230202,Tacna,Candarave,Cairani,Cairani
220403,230204,Tacna,Candarave,Curibaya,Curibaya
220404,230205,Tacna,Candarave,Huanuara,Huanuara
220405,230206,Tacna,Candarave,Quilahuani,Quilahuani
220406,230203,Tacna,Candarave,Camilaca,Camilaca
