ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
230101,240101,Tumbes,Tumbes,Tumbes,Tumbes
230102,240102,Tumbes,Tumbes,Corrales,Corrales
230103,240103,Tumbes,Tumbes,La Cruz,La Cruz
230104,240104,Tumbes,Tumbes,Pampas de Hospital,Pampas de Hospital
230105,240105,Tumbes,Tumbes,San Jacinto,San Jacinto
230106,240106,Tumbes,Tumbes,San Juan de la Virgen,San Juan de la Virgen
230201,240201,Tumbes,Contralmirante Villar,Zorritos,Zorritos
230202,240202,Tumbes,Contralmirante Villar,Casitas,Casitas
230203,240203,Tumbes,Contralmirante Villar,Canoas de Punta Sal,Canoas de Punta Sal
230301,240301,Tumbes,Zarumilla,Zarumilla,Zarumilla
230302,240303,Tumbes,Zarumilla,Matapalo,Matapalo
230303,240304,Tumbes,Zarumilla,Papayal,Papayal
230304,240302,Tumbes,Zarumilla,Aguas Verdes,Aguas Verdes
