ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
250101,250101,Ucayali,Coronel Portillo,Calleria,Calleria
250102,250105,Ucayali,Coronel Portillo,Yarinacocha,Yarinacocha
250103,250104,Ucayali,Coronel Portillo,Masisea,Masisea
250104,250102,Ucayali,Coronel Portillo,Campoverde,Campoverde
250105,250103,Ucayali,Coronel Portillo,Iparia,Iparia
250106,250106,Ucayali,Coronel Portillo,Nueva Requena,Nueva Requena
250107,250107,Ucayali,Coronel Portillo,Manantay,Manantay
250201,250301,Ucayali,Padre Abad,Padre Abad,Padre Abad
250202,250302,Ucayali,Padre Abad,Irazola,Irazola
250203,250303,Ucayali,Padre Abad,Curimana,Curimana
250204,250304,Ucayali,Padre Abad,Neshuya,Neshuya
250205,250305,Ucayali,Padre Abad,Alexander Von Humboldt,Alexander Von Humboldt
250301,250201,Ucayali,Atalaya,Raimondi,Raymondi
250302,250203,Ucayali,Atalaya,Tahuania,Tahuania
250303,250204,Ucayali,Atalaya,Yurua,Yurua
250304,250202,Ucayali,Atalaya,Sepahua,Sepahua
250401,250401,Ucayali,Purús,Purús,Purus
