total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
71003,13.667,99.32,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,San Juan De Lurigancho,140137,150132,lima,lima,lima,san juan de lurigancho,NA,NA,NA
53959,27.775,100,16:00 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Santiago De Surco,140130,150140,lima,lima,lima,santiago de surco,NA,NA,NA
53066,16.315,97.196,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,San Martin De Porres,140126,150135,lima,lima,lima,san martin de porres,NA,NA,NA
40071,14.09,100,13:18 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Comas,140106,150110,lima,lima,lima,comas,NA,NA,NA
38593,13.685,99.936,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Ate,140103,150103,lima,lima,lima,ate,NA,NA,NA
35223,15.622,97.316,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Callao,Callao,Callao,240101,070101,callao,callao,callao,callao,NA,NA,NA
34817,17.32,100,11:50 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Los Olivos,140142,150117,lima,lima,lima,los olivos,NA,NA,NA
33044,16.01,100,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,San Juan De Miraflores,140136,150133,lima,lima,lima,san juan de miraflores,NA,NA,NA
31421,18.392,100,12:21 h - 12/04/2021,Hernando de Soto,Avanza País,La Libertad,Trujillo,Trujillo,120101,130101,la-libertad,la-libertad,trujillo,trujillo,NA,NA,NA
31379,14.274,100,13:18 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Villa El Salvador,140141,150142,lima,lima,lima,villa el salvador,NA,NA,NA
30788,14.217,100,19:25 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Villa Maria Del Triunfo,140132,150143,lima,lima,lima,villa maria del triunfo,NA,NA,NA
30049,18.194,100,13:18 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Chorrillos,140108,150108,lima,lima,lima,chorrillos,NA,NA,NA
28667,17.48,95.871,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Lima,140101,150101,lima,lima,lima,lima,NA,NA,NA
