total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
77583,14.934,99.32,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,San Juan De Lurigancho,140137,150132,lima,lima,lima,san juan de lurigancho,NA,NA,NA
42853,15.196,99.936,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Ate,140103,150103,lima,lima,lima,ate,NA,NA,NA
42288,14.87,100,13:18 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Comas,140106,150110,lima,lima,lima,comas,NA,NA,NA
41302,12.699,97.196,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,San Martin De Porres,140126,150135,lima,lima,lima,san martin de porres,NA,NA,NA
38914,17.702,100,13:18 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Villa El Salvador,140141,150142,lima,lima,lima,villa el salvador,NA,NA,NA
37433,17.286,100,19:25 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Villa Maria Del Triunfo,140132,150143,lima,lima,lima,villa maria del triunfo,NA,NA,NA
32688,14.498,97.316,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Callao,Callao,Callao,240101,070101,callao,callao,callao,callao,NA,NA,NA
31123,15.08,100,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,San Juan De Miraflores,140136,150133,lima,lima,lima,san juan de miraflores,NA,NA,NA
25340,18.428,99.871,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Callao,Callao,Ventanilla,240106,070106,callao,callao,callao,ventanilla,NA,NA,NA
25144,15.912,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Puente Piedra,140119,150125,lima,lima,lima,puente piedra,NA,NA,NA
24053,14.564,100,13:18 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Chorrillos,140108,150108,lima,lima,lima,chorrillos,NA,NA,NA
23229,11.555,100,11:50 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Los Olivos,140142,150117,lima,lima,lima,los olivos,NA,NA,NA
21045,30.49,97.333,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Sullana,Sullana,190601,200601,piura,piura,sullana,sullana,NA,NA,NA
20959,14.897,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Carabayllo,140105,150106,lima,lima,lima,carabayllo,NA,NA,NA
20799,14.144,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lambayeque,Chiclayo,Chiclayo,130101,140101,lambayeque,lambayeque,chiclayo,chiclayo,NA,NA,NA
20746,12.65,95.871,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Lima,140101,150101,lima,lima,lima,lima,NA,NA,NA
18208,10.658,100,12:21 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Trujillo,Trujillo,120101,130101,la-libertad,la-libertad,trujillo,trujillo,NA,NA,NA
17425,17.879,93.443,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,El Agustino,140135,150111,lima,lima,lima,el agustino,NA,NA,NA
16894,14.973,100,13:18 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Independencia,140134,150112,lima,lima,lima,independencia,NA,NA,NA
16421,8.453,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Santiago De Surco,140130,150140,lima,lima,lima,santiago de surco,NA,NA,NA
16411,13.5,99.842,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Santa Anita,140143,150137,lima,lima,lima,santa anita,NA,NA,NA
16243,20.238,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lambayeque,Chiclayo,Jose Leonardo Ortiz,130112,140105,lambayeque,lambayeque,chiclayo,jose leonardo ortiz,NA,NA,NA
16116,15.417,100,19:25 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,La Victoria,140109,150115,lima,lima,lima,la victoria,NA,NA,NA
15159,15.151,97.101,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Rimac,140122,150128,lima,lima,lima,rimac,NA,NA,NA
14320,20.153,100,18:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Trujillo,El Porvenir,120110,130102,la-libertad,la-libertad,trujillo,el porvenir,NA,NA,NA
13714,13.566,100,18:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ancash,Santa,Chimbote,021301,021801,ancash,ancash,santa,chimbote,NA,NA,NA
12873,21.176,100,14:28 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Piura,Castilla,190103,200104,piura,piura,piura,castilla,NA,NA,NA
12814,29.808,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Tumbes,Tumbes,Tumbes,230101,240101,tumbes,tumbes,tumbes,tumbes,NA,NA,NA
12511,22.648,100,14:28 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Piura,Veintiseis De Octubre,190115,200115,piura,piura,piura,veintiseis de octubre,NA,NA,NA
12458,14.315,99.598,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Lurigancho,140112,150118,lima,lima,lima,lurigancho,NA,NA,NA
11840,19.452,90.443,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ucayali,Coronel Portillo,Calleria,250101,250101,ucayali,ucayali,coronel portillo,calleria,NA,NA,NA
11836,15.482,99.588,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Piura,Piura,190101,200101,piura,piura,piura,piura,NA,NA,NA
11428,36.772,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Piura,Tambo Grande,190109,200114,piura,piura,piura,tambo grande,NA,NA,NA
11349,11.815,99.822,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Cajamarca,Cajamarca,Cajamarca,060101,060101,cajamarca,cajamarca,cajamarca,cajamarca,NA,NA,NA
10909,22.095,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Huaral,Huaral,140801,150601,lima-provincias,lima-provincias,huaral,huaral,NA,NA,NA
10815,13.913,100,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ica,Ica,Ica,100101,110101,ica,ica,ica,ica,NA,NA,NA
10558,34.167,98.696,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Morropon,Chulucanas,190401,200401,piura,piura,morropon,chulucanas,NA,NA,NA
10133,51.9,100,14:28 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lambayeque,Lambayeque,Morrope,130306,140306,lambayeque,lambayeque,lambayeque,morrope,NA,NA,NA
9546,13.671,99.036,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Loreto,Maynas,Iquitos,150101,160101,loreto,loreto,maynas,iquitos,NA,NA,NA
9124,16.237,70.796,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Trujillo,La Esperanza,120111,130105,la-libertad,la-libertad,trujillo,la esperanza,NA,NA,NA
8836,31.643,100,13:50 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Piura,Catacaos,190104,200105,piura,piura,piura,catacaos,NA,NA,NA
8426,24.02,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Paita,Paita,190501,200501,piura,piura,paita,paita,NA,NA,NA
8236,19.221,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lambayeque,Chiclayo,La Victoria,130115,140106,lambayeque,lambayeque,chiclayo,la victoria,NA,NA,NA
7912,8.143,100,14:28 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,La Molina,140110,150114,lima,lima,lima,la molina,NA,NA,NA
7893,8.615,100,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,San Miguel,140127,150136,lima,lima,lima,san miguel,NA,NA,NA
7716,16.36,100,11:50 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Pachacamac,140116,150123,lima,lima,lima,pachacamac,NA,NA,NA
7440,8.145,100,20:52 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Junin,Huancayo,El Tambo,110113,120114,junin,junin,huancayo,el tambo,NA,NA,NA
7230,11.102,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ancash,Santa,Nuevo Chimbote,021309,021809,ancash,ancash,santa,nuevo chimbote,NA,NA,NA
7160,26.301,92.857,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ucayali,Coronel Portillo,Manantay,250107,250107,ucayali,ucayali,coronel portillo,manantay,NA,NA,NA
7120,40.77,99.065,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Sullana,Bellavista,190602,200602,piura,piura,sullana,bellavista,NA,NA,NA
7095,22.91,100,19:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Barranca,Barranca,140901,150201,lima-provincias,lima-provincias,barranca,barranca,NA,NA,NA
7013,18.452,91.544,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Loreto,Maynas,San Juan Bautista,150113,160113,loreto,loreto,maynas,san juan bautista,NA,NA,NA
6918,17.417,100,11:20 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Lurin,140113,150119,lima,lima,lima,lurin,NA,NA,NA
6661,21.176,80.392,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ucayali,Coronel Portillo,Yarinacocha,250102,250105,ucayali,ucayali,coronel portillo,yarinacocha,NA,NA,NA
6591,9.242,99.728,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Junin,Huancayo,Huancayo,110101,120101,junin,junin,huancayo,huancayo,NA,NA,NA
6223,20.065,99.528,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Loreto,Maynas,Punchana,150111,160108,loreto,loreto,maynas,punchana,NA,NA,NA
