total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
78022,15.018,99.32,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,San Juan De Lurigancho,140137,150132,lima,lima,lima,san juan de lurigancho,NA,NA,NA
52999,16.295,97.196,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,San Martin De Porres,140126,150135,lima,lima,lima,san martin de porres,NA,NA,NA
47449,24.424,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Santiago De Surco,140130,150140,lima,lima,lima,santiago de surco,NA,NA,NA
46060,16.196,100,13:18 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Comas,140106,150110,lima,lima,lima,comas,NA,NA,NA
40711,14.436,99.936,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Ate,140103,150103,lima,lima,lima,ate,NA,NA,NA
34660,17.242,100,11:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Los Olivos,140142,150117,lima,lima,lima,los olivos,NA,NA,NA
33344,14.789,97.316,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Callao,Callao,Callao,240101,070101,callao,callao,callao,callao,NA,NA,NA
31857,14.492,100,13:18 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Villa El Salvador,140141,150142,lima,lima,lima,villa el salvador,NA,NA,NA
31578,18.484,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Trujillo,Trujillo,120101,130101,la-libertad,la-libertad,trujillo,trujillo,NA,NA,NA
31424,21.369,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lambayeque,Chiclayo,Chiclayo,130101,140101,lambayeque,lambayeque,chiclayo,chiclayo,NA,NA,NA
31273,15.152,100,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,San Juan De Miraflores,140136,150133,lima,lima,lima,san juan de miraflores,NA,NA,NA
31098,14.361,100,19:25 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Villa Maria Del Triunfo,140132,150143,lima,lima,lima,villa maria del triunfo,NA,NA,NA
27992,16.949,100,13:18 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Chorrillos,140108,150108,lima,lima,lima,chorrillos,NA,NA,NA
26646,16.248,95.871,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Lima,140101,150101,lima,lima,lima,lima,NA,NA,NA
24828,25.552,100,14:28 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,La Molina,140110,150114,lima,lima,lima,la molina,NA,NA,NA
21907,13.863,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Puente Piedra,140119,150125,lima,lima,lima,puente piedra,NA,NA,NA
20823,14.801,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Carabayllo,140105,150106,lima,lima,lima,carabayllo,NA,NA,NA
19081,13.876,99.871,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Callao,Callao,Ventanilla,240106,070106,callao,callao,callao,ventanilla,NA,NA,NA
19028,15.653,99.842,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Santa Anita,140143,150137,lima,lima,lima,santa anita,NA,NA,NA
18467,26.083,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,San Borja,140140,150130,lima,lima,lima,san borja,NA,NA,NA
18051,19.702,100,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,San Miguel,140127,150136,lima,lima,lima,san miguel,NA,NA,NA
17746,24.993,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Miraflores,140115,150122,lima,lima,lima,miraflores,NA,NA,NA
16956,15.028,100,13:18 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Independencia,140134,150112,lima,lima,lima,independencia,NA,NA,NA
16621,15.9,100,19:25 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,La Victoria,140109,150115,lima,lima,lima,la victoria,NA,NA,NA
16069,21.019,99.588,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Piura,Piura,Piura,190101,200101,piura,piura,piura,piura,NA,NA,NA
